VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
149,119,Santosh Kulkarni,22,M,0
150,120,Padma Gowda,64,F,0
151,120,Geetha Kulkarni,46,F,0
152,121,Abdul Swamy,44,M,0
153,122,Joseph Swamy,64,M,0
154,123,Ayesha Hegde,24,F,0
155,124,Santosh Sheikh,37,M,0
156,125,Arun Poojary,45,M,0
157,125,Salman Fernandes,15,M,0
158,126,Roopa Khan,45,F,0
159,127,Anand Desai,30,M,0
160,128,Asha Patil,31,F,0
161,129,Salman Patil,41,M,0
162,130,Venkatesh,39,M,0
163,131,Mahesh Kulkarni,51,M,0
164,132,Shruthi Naik,31,F,0
165,133,Vani Shetty,70,F,0
166,134,Savitha Swamy,74,F,0
167,134,Savitha Rao,19,F,0
168,135,Santosh Murthy,71,M,0
169,136,Rekha Kumar,23,F,0
170,137,Joseph,57,M,0
171,138,Lokesh Reddy,69,M,0
172,139,Lakshmi Gowda,60,F,0
173,140,Suresh Naik,49,M,0
174,141,Peter Shetty,64,M,0
175,141,Shruthi D'Souza,33,F,0
176,142,Arun Shetty,40,M,0
177,143,Santosh Swamy,53,M,0
178,143,Fathima Acharya,36,F,0
179,144,Manjula Rao,49,F,0
180,145,Karthik Shetty,66,M,0
181,146,Lokesh Hegde,65,M,0
182,147,Padma Reddy,60,F,0
183,148,Bhagya Kulkarni,57,F,0
184,148,Salman Sheikh,43,M,0
185,149,Lokesh Poojary,15,M,0
186,149,Ravi Murthy,24,M,0
187,150,Mahesh Desai,24,M,0
188,151,Salman Swamy,45,M,0
189,152,Naveen Sheikh,68,M,0
190,153,Prakash D'Souza,72,M,0
191,154,Salman Sheikh,67,M,0
192,155,Fathima Shetty,55,F,0
193,155,Vani Hegde,67,F,0
194,156,Vinay Sheikh,35,M,0
195,156,Manjula Shetty,59,F,0
196,157,Mahesh Patil,58,M,0
197,157,Asha Swamy,17,F,0
198,158,Meena Naik,57,F,0
199,159,Sunitha Swamy,41,F,0
200,159,Savitha Shetty,30,F,0
201,160,Meena Desai,48,F,0
202,161,Abdul D'Souza,36,M,0
203,162,Savitha Rao,20,F,0
204,163,Ayesha Sheikh,31,F,0
205,164,Anand Naik,58,M,0
206,165,Imran Swamy,37,M,0
207,166,Fathima Murthy,34,F,0
208,167,Lakshmi Sheikh,56,F,0
209,168,Savitha Kulkarni,70,F,0
210,168,Divya Reddy,28,F,0
211,169,Shruthi Kumar,31,F,0
212,170,Santosh Swamy,49,M,0
213,170,Asha Poojary,44,F,0
214,171,Vani Sheikh,50,F,0
215,172,Kiran,35,M,0
216,173,Fathima Gowda,51,F,0
217,173,Kavitha Poojary,27,F,0
218,174,Salman,42,M,0
219,175,Divya Shetty,46,F,0
220,176,Geetha Khan,60,F,0
221,177,Chandrashekar Reddy,28,M,0
222,178,Lakshmi Poojary,20,F,0
223,179,Shruthi D'Souza,63,F,0
224,180,Basavaraj Swamy,53,M,0
225,180,Shruthi Hegde,74,F,0
226,181,Girish Reddy,27,M,0
227,182,Bhagya Khan,64,F,0
228,183,Divya Hegde,59,F,0
229,184,Deepak Murthy,32,M,0
230,185,Bhagya Rao,40,F,0
231,186,Manjunath Kulkarni,69,M,0
232,187,Savitha Sheikh,23,F,0
233,187,Manjunath Patil,24,M,0
234,188,Karthik Kumar,37,M,0
235,189,Savitha Kulkarni,67,F,0
236,190,Lakshmi Acharya,19,F,0
237,191,Anand Hegde,43,M,0
238,191,Vani Patil,45,F,0
239,192,Roopa Desai,53,F,0
240,193,Joseph Shetty,49,M,0
241,194,Fathima Khan,47,F,0
242,195,Ravi Rao,55,M,0
243,195,Kavitha Poojary,42,F,0
244,196,Bhagya,61,F,0
245,197,Asha Naik,52,F,0
246,198,Harish,37,M,0
247,199,Sunitha Shetty,35,F,0
248,200,Lokesh Shetty,12,M,0
249,201,Deepak Poojary,60,M,0
250,201,Lakshmi Murthy,74,F,0
251,202,Meena Poojary,21,F,0
252,203,Fathima Poojary,16,F,0
253,204,Raghavendra Fernandes,44,M,0
254,205,Harish Gowda,67,M,0
255,205,Mary Desai,75,F,0
256,206,Girish Patil,74,M,0
257,206,Meena,39,F,0
258,207,Suresh Gowda,36,M,0
259,208,Geetha Shetty,16,F,0
260,209,Meena Hegde,75,F,0
261,210,Mary Swamy,37,F,0
262,211,Shobha Swamy,12,F,0
263,212,Kavitha Fernandes,20,F,0
264,213,Asha Fernandes,44,F,0
265,214,Suresh Khan,36,M,1
266,215,Kavitha Reddy,25,F,0
267,216,Nagaraj Murthy,52,M,0
268,217,Prakash Sheikh,17,M,0
269,218,Basavaraj Fernandes,42,M,0
270,219,Harish Patil,17,M,0
271,220,Bhagya Reddy,44,F,1
272,221,Shobha Khan,29,F,0
273,222,Imran Sheikh,12,M,0
274,222,Mahesh Fernandes,65,M,0
275,223,Harish Poojary,17,M,0
276,224,Divya Hegde,12,F,0
277,225,Abdul Khan,40,M,0
278,226,Manjula Poojary,41,F,0
279,227,Arun Shetty,18,M,0
280,227,Venkatesh Sheikh,62,M,0
281,228,Salman Kumar,30,M,0
282,229,Arun Gowda,31,M,0
283,230,Deepak Reddy,12,M,0
284,231,Lakshmi D'Souza,35,F,0
285,232,Kiran Swamy,49,M,0
286,233,Peter Acharya,55,M,0
287,234,Abdul Murthy,16,M,0
288,234,Naveen Desai,42,M,0
289,235,Shobha Reddy,64,F,0
290,236,Fathima Sheikh,45,F,0
291,237,Manjunath Patil,69,M,0
292,238,Chandrashekar Naik,58,M,0
293,238,Karthik Gowda,61,M,0
294,239,Divya Gowda,69,F,0
295,240,Lokesh,65,M,0
296,240,Kavitha Fernandes,70,F,0
297,241,Venkatesh Sheikh,31,M,0
298,242,Kiran,67,M,0
299,242,Lokesh,57,M,0
300,243,Divya Shetty,42,F,0
301,244,Naveen Murthy,18,M,0
302,245,Joseph Kulkarni,14,M,0
303,245,Rekha Naik,37,F,0
304,246,Vinay Khan,21,M,0
305,247,Shivakumar Sheikh,33,M,0
306,248,Venkatesh Murthy,64,M,0
307,248,Anand Khan,14,M,0
308,249,Meena,31,F,0
309,249,Manjunath,29,M,0
310,250,Geetha Desai,55,F,0
311,251,Fathima Fernandes,75,F,0
312,252,Meena Murthy,70,F,0
313,253,Shobha Naik,25,F,0
314,253,Nagaraj Kumar,53,M,0
315,254,Ravi Naik,51,M,0
316,254,Abdul D'Souza,21,M,0
317,255,Ayesha Murthy,17,F,0
318,256,Pooja D'Souza,65,F,0
319,257,Roopa Gowda,29,F,0
320,257,Suresh Reddy,31,M,0
321,258,Mary D'Souza,61,F,0
322,259,Imran Desai,23,M,0
323,259,Manjunath D'Souza,43,M,0
324,260,Peter Rao,62,M,0
325,261,Shobha,38,F,0
326,262,Geetha,43,F,0
327,263,Savitha Reddy,37,F,0
328,264,Fathima Kumar,38,F,0
329,264,Rekha Rao,30,F,0
330,265,Vinay Naik,16,M,0
331,266,Geetha Gowda,36,F,0
332,267,Geetha Naik,15,F,0
333,268,Mahesh Murthy,45,M,0
334,269,Karthik Kulkarni,71,M,0
335,269,Suresh Fernandes,19,M,0
336,270,Vani D'Souza,47,F,0
337,270,Arun Swamy,34,M,0
338,271,Umesh,20,M,0
339,271,Salman Sheikh,14,M,0
340,272,Suresh Kulkarni,16,M,0
341,273,Basavaraj Sheikh,46,M,0
342,274,Manjula Fernandes,22,F,0
343,275,Anand Khan,59,M,0
344,276,Divya D'Souza,31,F,0
345,277,Kavitha Swamy,61,F,0
346,278,Shruthi,20,F,0
347,278,Manjunath Desai,21,M,0
348,279,Naveen Naik,49,M,0
349,280,Shruthi Fernandes,43,F,0
350,280,Shruthi Fernandes,68,F,0
351,281,Asha Poojary,52,F,0
352,282,Arun D'Souza,15,M,0
353,282,Naveen Acharya,45,M,0
354,283,Divya D'Souza,61,F,0
355,284,Rekha Shetty,26,F,0
356,285,Padma Reddy,16,F,0
357,285,Padma Desai,59,F,0
358,286,Sunitha Kumar,72,F,0
359,287,Ayesha Sheikh,48,F,0
360,288,Divya Swamy,66,F,0
361,289,Sunitha D'Souza,42,F,0
362,290,Meena Rao,13,F,0
363,291,Roopa,60,F,0
364,292,Savitha D'Souza,13,F,0
365,293,Anand Khan,60,M,0
366,294,Shivakumar Sheikh,70,M,0
367,294,Abdul Shetty,74,M,0
368,295,Ravi,30,M,0
369,296,Lakshmi Sheikh,20,F,0
370,297,Ravi Sheikh,44,M,0
371,298,Suresh Kulkarni,54,M,0
372,299,Salman Kulkarni,50,M,0
373,300,Roopa Rao,17,F,0
374,301,Manjunath Shetty,35,M,0
375,302,Shruthi Fernandes,18,F,0
376,302,Lakshmi Patil,20,F,0
377,303,Rekha Reddy,19,F,0
378,304,Shobha Gowda,12,F,0
379,305,Girish Murthy,24,M,0
380,306,Manjunath Hegde,66,M,0
381,306,Savitha Patil,42,F,0
382,307,Asha Fernandes,59,F,0
383,308,Arun D'Souza,47,M,0
384,309,Peter Gowda,28,M,0
385,310,Umesh Patil,68,M,0
386,311,Sunitha Shetty,22,F,0
387,312,Meena Naik,51,F,0
388,313,Shruthi Rao,64,F,0
389,314,Arun Patil,21,M,0
390,314,Mary Sheikh,63,F,0
391,315,Venkatesh Gowda,54,M,0
392,316,Shobha Rao,14,F,0
393,317,Ayesha Khan,28,F,0
394,318,Asha Rao,66,F,0
395,319,Shruthi Acharya,39,F,0
396,320,Basavaraj Swamy,23,M,0
397,321,Bhagya Kulkarni,45,F,0
398,321,Asha Murthy,68,F,0
399,322,Asha Acharya,18,F,0
400,322,Karthik Sheikh,43,M,0
401,323,Fathima Reddy,58,F,0
402,324,Abdul Gowda,21,M,0
403,325,Vani Patil,38,F,0
404,326,Meena Desai,51,F,0
405,327,Anand Swamy,40,M,0
406,328,Kavitha Patil,51,F,0
407,328,Arun Desai,27,M,0
408,329,Asha Desai,64,F,0
409,330,Asha Murthy,55,F,0
410,331,Ravi Desai,41,M,0
411,332,Venkatesh Acharya,18,M,0
412,333,Shobha Reddy,34,F,0
413,334,Savitha Khan,64,F,0
414,335,Arun,55,M,0
415,336,Kavitha Reddy,40,F,0
416,336,Manjula,44,F,0
417,337,Salman Fernandes,37,M,0
418,338,Lokesh Poojary,38,M,0
419,339,Shobha Khan,31,F,0
420,340,Arun Kumar,59,M,0
421,341,Shobha Murthy,53,F,0
422,342,Pooja D'Souza,24,F,0
423,343,Umesh Fernandes,32,M,0
424,344,Ravi Kumar,36,M,0
425,345,Pooja Hegde,12,F,0
426,346,Shruthi D'Souza,32,F,0
427,347,Padma Fernandes,57,F,0
428,348,Karthik Reddy,32,M,0
429,348,Savitha Swamy,63,F,0
430,349,Vani Gowda,18,F,1
431,350,Imran Rao,72,M,0
432,350,Ravi Rao,38,M,0
433,351,Mahesh Patil,39,M,0
434,352,Lokesh Shetty,35,M,0
435,353,Rekha Reddy,55,F,0
436,354,Shobha Sheikh,15,F,0
437,355,Shivakumar Desai,64,M,0
438,356,Salman Reddy,26,M,0
439,357,Pooja Acharya,68,F,0
440,358,Chandrashekar Swamy,25,M,0
441,359,Venkatesh Poojary,66,M,0
442,360,Kavitha Shetty,52,F,0
443,361,Mary Swamy,43,F,0
444,362,Shruthi Reddy,29,F,0
445,363,Basavaraj Naik,13,M,0
446,364,Padma Murthy,56,F,0
447,364,Karthik Murthy,70,M,0
448,365,Mary Patil,41,F,0
449,366,Ravi Kulkarni,47,M,0
450,367,Pooja Poojary,38,F,0
451,368,Deepak Murthy,42,M,0
452,369,Roopa Kulkarni,64,F,0
453,370,Vinay Hegde,65,M,0
454,371,Santosh Poojary,63,M,0
455,372,Suresh Swamy,37,M,0
456,373,Ayesha Patil,26,F,0
457,374,Naveen Fernandes,66,M,0
458,375,Vinay Kulkarni,13,M,0
459,376,Imran Patil,69,M,0
460,377,Venkatesh Rao,65,M,0
461,378,Lakshmi Sheikh,66,F,0
462,378,Shobha Kulkarni,51,F,0
463,379,Manjula Shetty,70,F,0
464,380,Abdul Hegde,19,M,0
465,381,Sunitha Acharya,44,F,0
466,381,Ravi Swamy,47,M,0
467,382,Santosh Kumar,32,M,0
468,382,Kavitha Naik,47,F,0
469,383,Manjula Patil,25,F,0
470,384,Salman Rao,14,M,0
471,385,Manjula Fernandes,37,F,0
472,386,Divya Acharya,70,F,0
473,387,Girish Naik,26,M,0
474,388,Joseph Kulkarni,75,M,0
475,389,Kavitha Poojary,59,F,0
476,390,Karthik Desai,53,M,0
477,391,Mary Sheikh,18,F,0
478,392,Roopa Acharya,44,F,0
479,392,Anand Gowda,42,M,0
480,393,Sunitha Fernandes,59,F,0
481,394,Naveen Kumar,69,M,0
482,395,Peter Swamy,53,M,0
483,396,Shivakumar Hegde,50,M,0
484,397,Divya,16,F,0
485,398,Deepak Naik,43,M,0
486,399,Ayesha Desai,59,F,0
487,400,Padma Swamy,25,F,0
488,401,Girish Patil,18,M,0
489,402,Fathima Reddy,67,F,0
490,403,Joseph Murthy,67,M,0
491,403,Geetha Swamy,34,F,0
492,404,Sunitha Gowda,23,F,0
493,405,Savitha Gowda,41,F,0
494,406,Savitha Sheikh,67,F,0
495,406,Kavitha Naik,57,F,0
496,407,Shivakumar Hegde,71,M,0
497,408,Rekha Sheikh,33,F,0
498,409,Rekha Gowda,12,F,0
499,410,Savitha Swamy,60,F,0
500,411,Lakshmi Desai,42,F,0
501,412,Roopa Naik,54,F,0
502,413,Rekha Fernandes,63,F,0
503,414,Joseph Patil,71,M,0
504,414,Venkatesh Poojary,51,M,0
505,415,Asha Gowda,59,F,0
506,416,Pooja Shetty,23,F,0
507,417,Abdul Gowda,70,M,0
508,418,Harish Rao,70,M,0
509,419,Venkatesh Kulkarni,69,M,0
510,420,Bhagya Shetty,37,F,0
511,421,Sunitha Naik,56,F,0
512,421,Anand Fernandes,43,M,0
513,422,Kavitha Reddy,71,F,0
514,422,Karthik Kumar,51,M,0
515,423,Harish Murthy,41,M,0
516,424,Mahesh Patil,21,M,0
517,425,Girish Hegde,49,M,0
518,426,Rekha Sheikh,42,F,0
519,427,Lakshmi Reddy,48,F,0
520,428,Divya Fernandes,63,F,0
521,429,Kavitha Kulkarni,14,F,0
522,430,Divya Kulkarni,55,F,0
523,431,Girish Swamy,21,M,0
524,432,Lakshmi Naik,61,F,0
525,433,Umesh Shetty,14,M,0
526,434,Mahesh Desai,48,M,0
527,434,Shobha D'Souza,23,F,0
528,435,Girish Fernandes,66,M,0
529,435,Girish Khan,31,M,0
530,436,Ayesha Rao,22,F,0
531,437,Ravi Acharya,67,M,0
532,438,Deepak Hegde,40,M,0
533,439,Savitha Khan,53,F,0
534,440,Savitha Murthy,52,F,0
535,441,Sunitha Gowda,17,F,0
536,441,Asha D'Souza,57,F,0
537,442,Shruthi Naik,30,F,0
538,443,Fathima Desai,34,F,0
539,444,Meena Gowda,53,F,0
540,445,Roopa Sheikh,63,F,0
541,446,Lakshmi D'Souza,41,F,0
542,447,Shruthi Sheikh,74,F,0
543,447,Roopa Shetty,46,F,0
544,448,Imran Reddy,41,M,0
545,449,Vinay Gowda,28,M,0
546,449,Mary Swamy,47,F,0
547,450,Abdul Kumar,59,M,0
548,451,Suresh Poojary,52,M,0
549,452,Mahesh Sheikh,19,M,0
550,453,Manjula D'Souza,29,F,0
551,454,Roopa Khan,64,F,0
552,455,Fathima Reddy,25,F,0
553,456,Deepak Murthy,73,M,0
554,457,Harish Hegde,50,M,0
555,458,Raghavendra Kumar,68,M,1
556,459,Anand Shetty,63,M,0
557,460,Kiran Shetty,29,M,0
558,461,Anand,57,M,0
559,462,Anand Gowda,50,M,0
560,463,Shobha Khan,75,F,0
561,464,Basavaraj Fernandes,21,M,0
562,464,Suresh Swamy,52,M,0
563,465,Roopa Murthy,14,F,0
564,466,Nagaraj Fernandes,51,M,0
565,467,Bhagya Naik,46,F,0
566,468,Nagaraj Sheikh,61,M,0
567,469,Geetha,55,F,0
568,470,Abdul,15,M,0
569,471,Basavaraj Shetty,60,M,0
570,472,Lokesh Desai,56,M,0
571,472,Karthik Naik,25,M,0
572,473,Manjula Hegde,56,F,0
573,474,Rekha Reddy,21,F,0
574,475,Naveen Naik,45,M,0
575,476,Santosh D'Souza,23,M,0
576,476,Kiran Fernandes,70,M,0
577,477,Prakash Acharya,48,M,0
578,478,Mary D'Souza,57,F,0
579,479,Ravi Swamy,65,M,0
580,480,Kiran Patil,30,M,0
581,481,Karthik Gowda,67,M,0
582,482,Ravi Swamy,40,M,0
583,483,Venkatesh Kulkarni,35,M,0
584,484,Divya Kumar,50,F,0
585,484,Kiran Acharya,40,M,0
586,485,Geetha Desai,26,F,0
587,486,Vani Hegde,40,F,0
588,487,Lokesh Swamy,38,M,0
589,488,Karthik Murthy,60,M,0
590,489,Kavitha Patil,68,F,0
591,490,Kiran Shetty,43,M,0
592,491,Deepak Desai,36,M,0
593,492,Arun Sheikh,64,M,0
594,493,Meena Sheikh,64,F,0
595,494,Deepak Patil,52,M,0
596,495,Divya Shetty,43,F,0
597,496,Raghavendra Khan,60,M,0
598,497,Kavitha Swamy,26,F,0
599,498,Basavaraj Desai,70,M,0
600,499,Basavaraj Rao,67,M,0
601,500,Bhagya Murthy,68,F,0
602,501,Ravi Naik,12,M,0
603,502,Venkatesh,72,M,0
604,502,Imran Khan,40,M,0
605,503,Kavitha Sheikh,39,F,0
606,504,Kiran Kumar,21,M,0
607,504,Deepak Gowda,70,M,0
608,505,Deepak Hegde,25,M,0
609,506,Peter Sheikh,28,M,0
610,507,Bhagya Naik,60,F,0
611,507,Arun Gowda,23,M,0
612,508,Bhagya Poojary,23,F,0
613,509,Divya Naik,43,F,1
614,510,Raghavendra Fernandes,57,M,0
615,511,Kiran Murthy,55,M,0
616,512,Rekha Fernandes,68,F,0
617,512,Karthik Desai,66,M,0
618,513,Lokesh Acharya,31,M,0
619,514,Lakshmi Murthy,75,F,0
620,515,Vani D'Souza,37,F,0
621,516,Shruthi Fernandes,39,F,0
622,517,Ayesha Patil,74,F,0
623,518,Prakash Shetty,42,M,0
624,519,Anand Patil,53,M,0
625,519,Kavitha Acharya,57,F,0
626,520,Anand Reddy,66,M,0
627,521,Karthik D'Souza,16,M,0
628,522,Padma Naik,22,F,0
629,523,Geetha Kumar,18,F,0
630,524,Umesh Naik,19,M,0
631,525,Nagaraj Gowda,38,M,0
632,526,Umesh Patil,34,M,0
633,527,Fathima Poojary,73,F,0
634,528,Deepak Kulkarni,50,M,0
635,529,Santosh Shetty,39,M,0
636,530,Basavaraj Patil,63,M,0
637,531,Savitha Sheikh,54,F,0
638,532,Venkatesh Fernandes,25,M,0
639,533,Lokesh D'Souza,33,M,0
640,534,Deepak Acharya,49,M,0
641,535,Shobha,45,F,0
642,536,Salman Rao,70,M,0
643,537,Santosh Patil,67,M,0
644,538,Savitha Murthy,51,F,0
645,538,Girish Murthy,23,M,0
646,539,Deepak Gowda,41,M,0
647,539,Geetha Kulkarni,31,F,0
648,540,Venkatesh Murthy,55,M,0
649,541,Meena Murthy,17,F,0
650,541,Arun Fernandes,37,M,1
651,542,Arun D'Souza,45,M,0
652,543,Kiran Kulkarni,34,M,0
653,544,Divya Reddy,61,F,0
654,545,Geetha Reddy,36,F,0
655,546,Abdul Poojary,29,M,0
656,546,Ayesha Fernandes,52,F,0
657,547,Ravi Sheikh,65,M,0
658,548,Bhagya Acharya,43,F,0
659,549,Manjunath Fernandes,25,M,0
660,549,Mary Naik,69,F,0
661,550,Nagaraj Hegde,41,M,0
662,551,Nagaraj Khan,55,M,0
663,552,Umesh Kumar,36,M,1
664,553,Roopa Acharya,26,F,0
665,553,Shruthi Hegde,39,F,0
666,554,Girish Swamy,23,M,0
667,555,Shobha Desai,53,F,0
668,556,Abdul Kulkarni,29,M,0
669,557,Venkatesh Khan,18,M,0
670,558,Lakshmi Swamy,17,F,0
671,558,Santosh Hegde,45,M,0
672,559,Vani Poojary,42,F,0
673,560,Manjula Kulkarni,53,F,0
674,561,Fathima Gowda,44,F,0
675,562,Fathima D'Souza,14,F,0
676,563,Padma Kumar,20,F,0
677,564,Arun Reddy,38,M,0
678,565,Bhagya Reddy,22,F,0
679,566,Imran Murthy,38,M,0
680,567,Asha Acharya,62,F,0
681,568,Raghavendra Kulkarni,34,M,0
682,569,Girish Rao,56,M,0
683,570,Kavitha Rao,62,F,0
684,571,Manjula Kulkarni,63,F,0
685,572,Divya Poojary,34,F,0
686,573,Nagaraj Kumar,39,M,0
687,574,Vani Fernandes,31,F,0
688,574,Chandrashekar Hegde,55,M,0
689,575,Ayesha Kulkarni,46,F,0
690,575,Asha Hegde,59,F,0
691,576,Santosh Gowda,21,M,0
692,577,Geetha Acharya,12,F,0
693,578,Savitha Murthy,41,F,0
694,579,Shivakumar Kulkarni,34,M,0
695,580,Asha Kumar,12,F,0
696,581,Harish Murthy,70,M,0
697,582,Karthik Kumar,72,M,0
698,583,Kavitha Hegde,73,F,0
699,584,Girish D'Souza,55,M,0
700,585,Geetha Swamy,40,F,0
701,585,Peter Khan,20,M,0
702,586,Lakshmi Swamy,45,F,0
703,587,Mahesh Patil,68,M,0
704,588,Anand Rao,72,M,0
705,589,Rekha Swamy,47,F,0
706,590,Raghavendra Reddy,23,M,0
707,591,Venkatesh Acharya,28,M,0
708,592,Arun Desai,35,M,0
709,593,Vani Sheikh,26,F,0
710,593,Kavitha Patil,17,F,0
711,594,Suresh Kumar,46,M,0
712,595,Shruthi Poojary,65,F,0
713,596,Bhagya Kumar,51,F,0
714,597,Asha,35,F,0
715,598,Savitha Shetty,43,F,0
716,598,Manjula Gowda,74,F,0
717,599,Basavaraj D'Souza,21,M,0
718,600,Naveen Kumar,58,M,0
719,601,Deepak Shetty,74,M,0
720,601,Venkatesh Naik,16,M,0
721,602,Abdul Desai,69,M,0
722,603,Rekha Kulkarni,61,F,0
723,604,Asha,30,F,0
724,604,Kiran Acharya,56,M,0
725,605,Abdul,38,M,0
726,606,Ravi Sheikh,47,M,0
727,607,Mahesh Kumar,64,M,0
728,608,Santosh Kulkarni,31,M,0
729,609,Rekha Gowda,45,F,0
730,610,Girish Gowda,55,M,0
731,611,Padma Murthy,72,F,0
732,612,Raghavendra Khan,56,M,0
