ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
93,93,Deepak Kulkarni,68,5,3,3,1
94,94,Vani Shetty,43,9,2,3,2
95,95,Raghavendra D'Souza,35,10,5,3,1
96,96,Basavaraj Gowda,41,4,3,5,1
97,97,Chandrashekar Murthy,35,8,6,5,1
98,98,Imran Acharya,48,9,6,2,1
99,99,Ravi Desai,35,9,2,4,1
100,100,Geetha Fernandes,19,1,4,1,2
101,101,Savitha Hegde,36,5,1,2,2
102,102,Mary Gowda,37,5,4,2,2
103,103,Lokesh Sheikh,51,10,2,1,1
104,104,Lokesh Shetty,66,1,2,5,1
105,105,Girish D'Souza,61,4,5,3,1
106,106,Vani Swamy,34,9,5,2,2
107,107,Mahesh Kumar,21,3,5,4,1
108,108,Venkatesh Poojary,59,6,2,1,1
109,109,Suresh Acharya,19,10,6,2,1
110,110,Bhagya Reddy,22,4,5,2,2
111,111,Arun Gowda,31,6,4,1,1
112,112,Venkatesh,31,7,3,3,1
113,113,Roopa Murthy,59,2,2,3,2
114,114,Girish D'Souza,30,10,2,2,1
115,115,Manjula Sheikh,53,7,6,2,2
116,116,Geetha Desai,37,7,6,4,2
117,117,Divya Acharya,25,3,4,5,2
118,118,Vani Poojary,19,8,3,3,2
119,119,Lokesh D'Souza,64,2,3,3,1
120,120,Sunitha Kulkarni,50,1,5,4,2
121,121,Vani Khan,27,8,6,4,2
122,122,Lokesh Naik,31,2,5,3,1
123,123,Ayesha Hegde,29,7,3,1,2
124,124,Divya D'Souza,30,3,4,3,2
125,125,Ravi Reddy,61,7,5,4,1
126,126,Rekha Khan,63,8,2,3,2
127,127,Kiran Desai,42,5,6,2,1
128,128,Sunitha Sheikh,42,1,6,1,2
129,129,Arun Reddy,46,10,5,2,1
130,130,Rekha Naik,48,2,4,1,2
131,131,Mahesh D'Souza,48,9,3,3,1
132,132,Vinay Desai,50,5,3,5,1
133,133,Pooja Swamy,66,7,1,4,2
134,134,Manjula Kumar,33,3,3,4,2
135,135,Kiran Kumar,68,6,3,4,1
136,136,Savitha D'Souza,69,6,5,4,2
137,137,Bhagya Shetty,34,4,5,3,2
138,138,Lakshmi Shetty,46,2,4,1,2
139,139,Arun D'Souza,41,8,3,5,1
140,140,Anand Gowda,26,9,2,2,1
141,141,Shruthi Murthy,19,1,3,1,2
142,142,Basavaraj Sheikh,65,10,2,2,1
143,143,Arun Naik,29,1,2,1,1
144,144,Rekha Acharya,45,1,5,2,2
145,145,Salman D'Souza,28,6,2,1,1
146,146,Suresh Poojary,26,3,4,2,1
147,147,Kavitha Rao,52,10,4,2,2
148,148,Bhagya Reddy,58,2,3,3,2
149,149,Meena Reddy,40,8,4,5,2
150,150,Meena Acharya,67,3,4,1,2
151,151,Divya Fernandes,29,7,5,1,2
152,152,Harish Patil,46,4,2,1,1
153,153,Divya Acharya,22,3,3,2,2
154,154,Geetha Kumar,61,6,1,3,2
155,155,Rekha Rao,43,10,6,4,2
156,156,Meena Desai,19,10,5,3,2
157,157,Deepak Murthy,47,9,4,4,1
158,158,Imran Murthy,65,1,5,1,1
159,159,Suresh Swamy,31,2,3,1,1
160,160,Arun Sheikh,22,3,5,3,1
161,161,Harish Poojary,57,6,4,2,1
162,162,Karthik Patil,56,9,3,5,1
163,163,Kavitha Swamy,46,4,6,4,2
164,164,Roopa Swamy,26,9,2,2,2
165,165,Salman Naik,42,10,6,2,1
166,166,Vinay Desai,22,6,5,3,1
167,167,Sunitha Gowda,55,6,4,5,2
168,168,Suresh Patil,62,5,3,4,1
169,169,Joseph Kumar,22,1,6,1,1
170,170,Salman Rao,62,2,2,2,1
171,171,Anand Kulkarni,64,6,4,3,1
172,172,Meena Shetty,43,6,1,4,2
173,173,Shruthi Desai,27,4,5,4,2
174,174,Pooja Murthy,62,4,2,3,2
175,175,Umesh Reddy,48,4,2,1,1
176,176,Kiran Desai,19,1,6,4,1
177,177,Meena Hegde,38,10,1,3,2
178,178,Roopa Swamy,66,7,1,5,2
179,179,Mahesh Kulkarni,43,2,6,3,1
180,180,Chandrashekar Gowda,37,1,2,2,1
181,181,Imran Naik,45,6,1,3,1
182,182,Peter Shetty,31,2,4,4,1
183,183,Shobha Reddy,36,6,1,5,2
184,184,Ayesha Fernandes,61,3,1,3,2
185,185,Vani Fernandes,43,9,6,4,2
186,186,Ravi Gowda,19,5,1,2,1
187,187,Raghavendra,57,6,6,4,1
188,188,Kavitha Hegde,20,5,5,3,2
189,189,Lakshmi D'Souza,62,6,6,5,2
190,190,Manjula Fernandes,20,4,2,2,2
191,191,Naveen D'Souza,27,2,4,5,1
192,192,Salman Shetty,67,1,3,3,1
193,193,Mary Poojary,35,5,5,4,2
194,194,Nagaraj Rao,42,9,4,1,1
195,195,Arun Rao,65,7,2,1,1
196,196,Shivakumar Hegde,29,4,3,1,1
197,197,Umesh Shetty,63,2,5,4,1
198,198,Padma Acharya,32,5,3,3,2
199,199,Manjunath Rao,35,3,5,1,1
200,200,Sunitha Rao,63,4,2,5,2
201,201,Geetha Reddy,31,2,5,3,2
202,202,Savitha Patil,27,2,3,3,2
203,203,Vani Murthy,36,6,1,5,2
204,204,Girish Gowda,26,4,4,5,1
205,205,Roopa D'Souza,27,10,5,3,2
206,206,Bhagya Shetty,44,8,1,3,2
207,207,Pooja Kumar,20,3,3,3,2
208,208,Kavitha Swamy,44,4,3,3,2
209,209,Sunitha Swamy,30,6,1,1,2
210,210,Basavaraj D'Souza,30,4,2,3,1
211,211,Meena Kulkarni,18,9,2,1,2
212,212,Bhagya Hegde,45,4,6,2,2
213,213,Basavaraj Kulkarni,68,2,3,1,1
214,214,Divya Khan,42,6,6,3,2
215,215,Manjula Reddy,68,6,2,3,2
216,216,Naveen Shetty,51,10,5,1,1
217,217,Abdul Murthy,35,1,2,1,1
218,218,Raghavendra Gowda,61,9,3,5,1
219,219,Geetha,29,10,1,2,2
220,220,Vinay Swamy,40,4,6,2,1
221,221,Shivakumar Naik,62,5,4,4,1
222,222,Harish Desai,34,4,6,5,1
223,223,Fathima Patil,45,9,1,1,2
224,224,Manjunath Kulkarni,68,10,5,2,1
225,225,Peter Hegde,30,4,2,2,1
226,226,Abdul Poojary,24,2,2,2,1
227,227,Lokesh Desai,42,9,4,1,1
228,228,Karthik Hegde,20,7,4,2,1
229,229,Salman Naik,48,2,4,5,1
230,230,Mahesh Swamy,48,1,5,4,1
231,231,Raghavendra Naik,33,7,5,5,1
232,232,Lokesh Naik,51,2,4,3,1
233,233,Sunitha Acharya,66,6,3,1,2
234,234,Karthik Kulkarni,39,3,4,5,1
235,235,Harish,23,4,4,2,1
236,236,Venkatesh Shetty,56,9,1,2,1
237,237,Asha Hegde,70,3,2,5,2
238,238,Peter Shetty,45,1,1,2,1
239,239,Deepak Naik,51,5,3,1,1
240,240,Kavitha,29,1,6,4,2
241,241,Geetha Poojary,43,10,5,1,2
242,242,Karthik Desai,70,1,3,4,1
243,243,Pooja Murthy,66,2,3,2,2
244,244,Mary Reddy,57,5,1,3,2
245,245,Peter Sheikh,64,8,4,1,1
246,246,Geetha Khan,49,9,5,3,2
247,247,Abdul Kulkarni,24,7,4,5,1
248,248,Shobha Poojary,70,4,5,2,2
249,249,Lokesh Acharya,18,6,5,4,1
250,250,Abdul Fernandes,45,10,6,3,1
251,251,Padma Swamy,67,2,5,1,2
252,252,Umesh Reddy,62,5,1,3,1
253,253,Imran Shetty,61,9,6,5,1
254,254,Lakshmi Murthy,66,8,6,3,2
255,255,Umesh Naik,70,7,4,5,1
256,256,Sunitha Shetty,39,9,4,4,2
257,257,Sunitha D'Souza,26,5,5,1,2
258,258,Imran Poojary,53,3,6,1,1
259,259,Karthik Kumar,26,4,5,2,1
260,260,Mahesh Shetty,57,2,5,4,1
261,261,Shobha Fernandes,53,3,2,2,2
262,262,Mary Sheikh,64,2,2,4,2
263,263,Salman Acharya,60,9,3,2,1
264,264,Padma D'Souza,30,1,5,2,2
265,265,Shivakumar Shetty,64,6,6,5,1
266,266,Mahesh Gowda,54,6,2,2,1
267,267,Asha Poojary,40,9,3,5,2
268,268,Raghavendra Patil,26,3,3,5,1
269,269,Kavitha Poojary,29,4,3,4,2
270,270,Suresh Khan,63,4,3,1,1
271,271,Sunitha Khan,34,7,4,4,2
272,272,Pooja Gowda,38,4,6,1,2
273,273,Raghavendra Swamy,24,3,2,4,1
274,274,Prakash Kumar,44,1,2,1,1
275,275,Joseph Rao,46,6,5,5,1
276,276,Chandrashekar Sheikh,61,10,3,2,1
277,277,Joseph Khan,55,7,2,3,1
278,278,Raghavendra Shetty,34,7,4,2,1
279,279,Geetha Kulkarni,25,10,1,4,2
280,280,Karthik Murthy,57,3,4,4,1
281,281,Manjula Kumar,48,2,4,1,2
282,282,Divya Gowda,54,8,3,3,2
283,283,Lakshmi Rao,23,3,3,1,2
284,284,Ayesha Shetty,63,7,3,2,2
285,285,Abdul Fernandes,62,4,5,3,1
286,286,Abdul Desai,59,3,4,2,1
287,287,Mahesh Patil,37,1,1,1,1
288,288,Shobha Rao,27,9,4,5,2
289,289,Padma Hegde,35,3,2,5,2
290,290,Manjula Reddy,19,9,6,5,2
291,291,Peter Gowda,47,7,2,1,1
292,292,Divya Murthy,24,7,5,5,2
293,293,Umesh Gowda,41,10,4,2,1
294,294,Arun Khan,41,6,5,3,1
295,295,Kavitha Acharya,49,1,3,4,2
296,296,Ayesha Patil,23,3,4,1,2
297,297,Vinay Reddy,20,8,1,4,1
298,298,Basavaraj Naik,69,5,5,1,1
299,299,Lokesh Kulkarni,52,7,1,4,1
300,300,Meena Hegde,31,10,2,1,2
301,301,Lokesh Acharya,32,6,3,1,1
302,302,Savitha Sheikh,24,8,6,2,2
303,303,Shobha Acharya,61,10,3,2,2
304,304,Abdul Naik,54,5,3,5,1
305,305,Imran Hegde,60,10,6,2,1
306,306,Roopa,53,9,4,3,2
307,307,Lakshmi Acharya,54,2,4,1,2
308,308,Venkatesh Swamy,56,3,5,5,1
309,309,Raghavendra Acharya,54,10,6,2,1
310,310,Roopa Reddy,44,5,4,2,2
311,311,Nagaraj Patil,65,9,3,1,1
312,312,Girish,36,5,3,1,1
313,313,Padma Shetty,24,9,5,1,2
314,314,Umesh Fernandes,33,4,2,3,1
315,315,Asha Kulkarni,26,2,2,3,2
316,316,Roopa Desai,31,1,4,5,2
317,317,Salman D'Souza,44,6,6,2,1
318,318,Basavaraj Hegde,64,3,1,3,1
319,319,Deepak Hegde,54,8,2,3,1
320,320,Kiran Patil,45,7,1,5,1
321,321,Venkatesh Fernandes,58,3,6,1,1
322,322,Santosh Acharya,43,1,4,2,1
323,323,Anand Sheikh,60,6,4,1,1
324,324,Basavaraj Gowda,69,3,1,3,1
325,325,Lakshmi Khan,39,10,5,5,2
326,326,Kavitha Sheikh,18,1,1,2,2
327,327,Shivakumar Khan,23,2,6,5,1
328,328,Kavitha Poojary,60,7,2,3,2
329,329,Prakash Sheikh,66,1,4,3,1
330,330,Peter Khan,39,7,3,5,1
331,331,Girish Khan,36,3,3,4,1
332,332,Padma Naik,20,5,2,3,2
333,333,Lakshmi Khan,45,3,4,5,2
334,334,Manjunath Khan,63,3,2,2,1
335,335,Geetha Murthy,50,2,2,2,2
336,336,Shruthi Reddy,60,2,4,1,2
337,337,Padma,59,7,2,2,2
338,338,Rekha Murthy,30,8,4,3,2
339,339,Suresh Shetty,55,6,3,5,1
340,340,Salman Hegde,22,2,2,2,1
341,341,Arun Swamy,29,10,5,4,1
342,342,Manjunath Sheikh,57,8,2,4,1
343,343,Mahesh Hegde,35,4,5,2,1
344,344,Sunitha Swamy,47,2,2,4,2
345,345,Lokesh Sheikh,49,7,1,1,1
346,346,Sunitha Acharya,54,2,2,3,2
347,347,Fathima Gowda,53,1,5,5,2
348,348,Abdul D'Souza,69,7,1,3,1
349,349,Padma Rao,53,6,4,2,2
350,350,Bhagya Khan,54,1,5,4,2
351,351,Geetha Murthy,45,3,2,2,2
352,352,Roopa Acharya,31,2,2,5,2
353,353,Lokesh Rao,50,6,4,3,1
354,354,Pooja Khan,30,5,3,5,2
355,355,Divya Poojary,29,6,6,1,2
356,356,Padma Murthy,21,10,5,5,2
357,357,Meena Kulkarni,65,9,5,3,2
358,358,Padma Murthy,69,2,3,2,2
359,359,Karthik Rao,46,8,5,1,1
360,360,Arun,23,1,2,5,1
361,361,Asha Swamy,66,7,2,4,2
362,362,Umesh Acharya,68,2,1,4,1
363,363,Savitha Acharya,25,1,2,5,2
364,364,Anand Hegde,29,9,5,3,1
365,365,Chandrashekar Sheikh,31,9,4,4,1
366,366,Naveen Patil,23,10,1,3,1
367,367,Lakshmi,64,9,4,2,2
368,368,Venkatesh Swamy,46,3,1,2,1
369,369,Rekha Swamy,49,3,2,1,2
370,370,Anand Kulkarni,37,8,4,2,1
371,371,Prakash,60,2,3,5,1
372,372,Basavaraj Desai,57,10,2,1,1
373,373,Ravi Fernandes,51,7,2,3,1
374,374,Shruthi Reddy,42,1,5,3,2
375,375,Padma Murthy,50,3,5,3,2
376,376,Arun Shetty,63,9,1,5,1
377,377,Deepak Rao,67,9,2,5,1
378,378,Rekha Acharya,23,3,1,3,2
379,379,Divya Poojary,23,8,4,5,2
380,380,Mary Kulkarni,68,10,3,4,2
381,381,Prakash Shetty,23,6,6,4,1
382,382,Lokesh Swamy,34,1,3,1,1
383,383,Manjunath Kumar,69,5,1,1,1
384,384,Imran Rao,22,4,4,3,1
385,385,Geetha Shetty,30,10,5,4,2
386,386,Karthik Rao,43,10,1,4,1
387,387,Lakshmi Naik,30,6,1,5,2
388,388,Shobha Desai,53,2,1,1,2
389,389,Joseph Khan,28,4,6,4,1
390,390,Kavitha Patil,51,1,2,4,2
391,391,Fathima Poojary,62,3,3,5,2
392,392,Bhagya Khan,21,8,5,5,2
393,393,Bhagya Rao,49,2,4,2,2
394,394,Sunitha Swamy,35,8,1,1,2
395,395,Ayesha Poojary,33,9,1,5,2
396,396,Savitha Shetty,45,7,4,4,2
397,397,Santosh Kumar,41,5,2,5,1
398,398,Pooja D'Souza,70,9,5,3,2
399,399,Suresh Rao,27,4,4,4,1
400,400,Raghavendra Kulkarni,48,6,2,5,1
401,401,Mahesh Rao,35,4,6,2,1
402,402,Divya Rao,55,3,6,1,2
403,403,Mary Acharya,65,9,5,2,2
404,404,Sunitha Desai,46,3,5,4,2
405,405,Anand Acharya,45,4,2,1,1
406,406,Savitha Murthy,43,5,4,1,2
407,407,Salman Rao,42,6,3,3,1
408,408,Suresh Hegde,36,9,2,4,1
409,409,Nagaraj Khan,29,4,5,4,1
410,410,Girish Patil,47,9,5,3,1
411,411,Ravi D'Souza,37,6,1,4,1
412,412,Rekha Gowda,67,9,4,5,2
413,413,Kiran Rao,62,8,1,3,1
414,414,Basavaraj Rao,53,3,4,3,1
415,415,Ayesha Gowda,42,10,2,1,2
416,416,Abdul Rao,39,9,5,1,1
417,417,Divya Hegde,59,5,3,5,2
418,418,Meena Swamy,26,1,5,1,2
419,419,Anand Kumar,27,4,4,3,1
420,420,Umesh,46,8,2,5,1
421,421,Ravi Swamy,44,7,1,4,1
422,422,Kiran Shetty,43,1,1,1,1
423,423,Girish Gowda,39,10,6,2,1
424,424,Lakshmi Desai,33,5,4,3,2
425,425,Anand Naik,51,8,2,2,1
426,426,Roopa Kumar,67,10,1,4,2
427,427,Vani Patil,56,2,4,1,2
428,428,Anand Swamy,43,3,6,1,1
429,429,Mahesh Poojary,26,4,1,2,1
430,430,Manjunath Naik,61,3,4,4,1
431,431,Naveen Fernandes,61,3,6,2,1
432,432,Rekha Fernandes,37,1,2,3,2
433,433,Anand Rao,28,1,6,2,1
434,434,Roopa Kulkarni,69,5,6,5,2
435,435,Bhagya Swamy,18,4,4,1,2
436,436,Vani Naik,24,6,6,4,2
437,437,Venkatesh Kulkarni,33,1,6,1,1
438,438,Shruthi,59,3,3,2,2
439,439,Roopa Murthy,23,6,3,3,2
440,440,Lakshmi Khan,18,4,5,3,2
441,441,Raghavendra Khan,44,3,3,5,1
442,442,Savitha,65,10,3,3,2
443,443,Bhagya Hegde,26,4,5,5,2
444,444,Pooja Acharya,43,5,4,5,2
445,445,Roopa Acharya,38,8,6,5,2
446,446,Kavitha Gowda,27,4,2,5,2
447,447,Nagaraj,18,10,4,1,1
448,448,Kiran Poojary,18,3,6,5,1
449,449,Manjula Desai,22,9,4,3,2
450,450,Naveen Khan,30,1,4,4,1
451,451,Shivakumar D'Souza,55,1,2,2,1
452,452,Karthik Khan,65,4,4,5,1
453,453,Imran Murthy,65,2,5,5,1
454,454,Kavitha Khan,20,4,6,3,2
455,455,Vani D'Souza,52,4,1,1,2
456,456,Bhagya Desai,70,1,1,4,2
457,457,Anand Kumar,39,9,3,3,1
458,458,Divya Desai,59,2,6,4,2
459,459,Divya Naik,62,8,4,3,2
460,460,Ravi Shetty,38,7,2,3,1
461,461,Prakash Fernandes,42,4,4,2,1
462,462,Padma Fernandes,43,8,2,2,2
463,463,Manjunath Shetty,62,1,3,1,1
464,464,Fathima Fernandes,44,3,6,1,2
465,465,Lokesh Reddy,21,3,2,1,1
466,466,Imran Gowda,24,10,1,1,1
467,467,Kavitha Khan,45,1,2,3,2
468,468,Mahesh Hegde,42,7,3,3,1
469,469,Roopa Patil,39,4,5,5,2
470,470,Asha Desai,44,9,3,5,2
471,471,Salman Khan,23,1,2,1,1
472,472,Meena Hegde,38,5,2,5,2
473,473,Vinay Murthy,32,10,1,1,1
474,474,Divya Rao,36,1,5,5,2
475,475,Peter Kumar,57,10,1,2,1
476,476,Anand Desai,70,1,2,3,1
477,477,Abdul Swamy,25,10,3,2,1
478,478,Kavitha Sheikh,64,2,6,4,2
479,479,Abdul Reddy,23,5,6,3,1
480,480,Bhagya Hegde,30,9,6,1,2
481,481,Lakshmi Murthy,30,6,4,2,2
482,482,Kavitha Shetty,53,1,2,1,2
483,483,Divya Murthy,40,8,3,5,2
484,484,Lokesh Murthy,27,8,4,1,1
485,485,Sunitha Naik,37,9,1,1,2
486,486,Joseph Naik,32,3,5,3,1
487,487,Ayesha Fernandes,67,3,1,3,2
488,488,Santosh,59,6,4,1,1
489,489,Ayesha Fernandes,67,2,3,3,2
490,490,Fathima Fernandes,21,7,6,1,2
491,491,Mary Acharya,44,4,4,1,2
492,492,Meena Naik,26,8,5,3,2
493,493,Roopa Acharya,32,4,4,3,2
494,494,Naveen Poojary,67,3,4,4,1
495,495,Vinay Patil,59,10,5,2,1
496,496,Mary Kulkarni,26,7,3,5,2
497,497,Anand Naik,41,1,6,1,1
498,498,Karthik Murthy,30,9,6,1,1
499,499,Manjula Swamy,56,9,6,5,2
500,500,Umesh Naik,34,6,6,5,1
501,501,Manjunath Murthy,52,5,4,4,1
502,502,Bhagya Rao,33,1,5,4,2
503,503,Manjunath Reddy,70,3,6,3,1
504,504,Vani Naik,67,8,5,2,2
505,505,Harish Murthy,36,9,5,2,1
506,506,Joseph D'Souza,27,5,4,5,1
507,507,Lokesh Naik,64,1,6,2,1
508,508,Deepak Reddy,57,4,1,3,1
509,509,Naveen Acharya,63,4,1,1,1
510,510,Fathima Swamy,26,9,5,2,2
511,511,Shivakumar Desai,55,10,2,3,1
512,512,Anand Kumar,70,3,5,3,1
513,513,Manjunath D'Souza,43,1,4,3,1
514,514,Geetha Kulkarni,62,10,4,3,2
515,515,Nagaraj Swamy,59,7,5,5,1
516,516,Lakshmi D'Souza,56,5,2,2,2
517,517,Nagaraj Hegde,66,10,2,5,1
518,518,Shobha Patil,66,8,5,3,2
519,519,Vani Desai,39,2,3,4,2
520,520,Chandrashekar Kulkarni,51,2,5,4,1
521,521,Ayesha Patil,61,2,2,2,2
522,522,Sunitha Kumar,25,6,3,5,2
523,523,Roopa Kumar,46,4,2,5,2
524,524,Fathima Gowda,46,5,3,5,2
525,525,Mary Swamy,46,7,1,2,2
526,526,Sunitha Shetty,18,2,2,5,2
527,527,Peter Swamy,56,1,4,5,1
528,528,Vinay Khan,18,9,3,1,1
529,529,Shivakumar Rao,30,9,5,4,1
530,530,Divya Fernandes,67,4,1,1,2
531,531,Ravi Kumar,52,2,4,5,1
532,532,Divya Poojary,68,6,4,3,2
533,533,Manjunath,31,9,6,5,1
534,534,Joseph Reddy,37,10,1,2,1
535,535,Prakash Hegde,63,4,4,1,1
536,536,Geetha Kulkarni,64,1,5,5,2
537,537,Manjula D'Souza,68,4,1,4,2
538,538,Vani Naik,57,9,5,1,2
539,539,Venkatesh Swamy,23,10,3,1,1
540,540,Vani Desai,29,5,2,5,2
541,541,Kavitha Murthy,31,6,5,1,2
542,542,Manjunath Kulkarni,57,8,1,1,1
543,543,Bhagya Poojary,63,10,2,4,2
544,544,Imran Poojary,66,4,5,3,1
545,545,Mary Swamy,66,8,1,2,2
546,546,Shivakumar Desai,35,6,4,4,1
547,547,Meena Khan,44,9,4,3,2
548,548,Harish Desai,64,5,3,2,1
549,549,Deepak D'Souza,54,10,6,4,1
550,550,Geetha Acharya,43,6,5,5,2
551,551,Fathima Desai,46,4,2,5,2
552,552,Bhagya Desai,49,8,3,1,2
553,553,Arun,51,5,6,1,1
554,554,Manjunath D'Souza,38,3,4,2,1
555,555,Vani Fernandes,37,6,3,4,2
556,556,Meena Kumar,19,1,6,5,2
557,557,Ravi Acharya,54,4,2,3,1
558,558,Mahesh D'Souza,69,1,6,2,1
559,559,Chandrashekar Fernandes,49,9,5,5,1
560,560,Joseph,57,1,2,5,1
561,561,Imran Reddy,70,10,3,2,1
562,562,Bhagya Fernandes,64,5,6,4,2
563,563,Shruthi Hegde,50,10,4,3,2
564,564,Deepak Swamy,46,9,5,4,1
565,565,Girish Hegde,48,7,4,5,1
566,566,Fathima Kulkarni,65,7,6,2,2
567,567,Roopa Fernandes,26,2,2,4,2
568,568,Kavitha Rao,68,5,5,2,2
569,569,Kiran Gowda,55,5,5,1,1
570,570,Mary Murthy,43,5,1,2,2
571,571,Sunitha Patil,31,5,4,1,2
572,572,Savitha Swamy,47,10,6,3,2
573,573,Mary Poojary,20,8,1,4,2
574,574,Vinay Gowda,60,1,4,2,1
575,575,Karthik Murthy,69,10,3,4,1
576,576,Manjula Fernandes,67,5,4,1,2
577,577,Raghavendra Sheikh,45,2,5,2,1
578,578,Shruthi Poojary,47,5,1,5,2
579,579,Vinay Swamy,52,3,5,4,1
580,580,Kiran Patil,30,6,5,2,1
581,581,Vani D'Souza,58,10,6,4,2
582,582,Shobha Desai,38,10,6,4,2
583,583,Ayesha Naik,25,9,1,3,2
584,584,Chandrashekar,68,8,2,2,1
585,585,Ayesha Reddy,66,4,5,5,2
586,586,Deepak,32,5,3,4,1
587,587,Nagaraj Hegde,41,6,3,2,1
588,588,Nagaraj Hegde,69,5,5,3,1
589,589,Peter Gowda,23,8,3,3,1
590,590,Mary Sheikh,27,4,6,5,2
591,591,Deepak Shetty,40,2,5,2,1
592,592,Girish Hegde,19,8,3,4,1
593,593,Shruthi Khan,51,8,2,5,2
594,594,Kiran Acharya,34,10,2,1,1
595,595,Ayesha Desai,28,3,5,5,2
596,596,Deepak,19,10,1,1,1
597,597,Girish Patil,61,10,4,5,1
598,598,Suresh Patil,32,6,1,3,1
599,599,Anand Hegde,41,6,1,2,1
600,600,Nagaraj Poojary,33,1,4,1,1
601,601,Prakash Reddy,23,5,4,1,1
602,602,Ravi Sheikh,27,8,2,1,1
603,603,Manjula Kulkarni,40,5,5,5,2
604,604,Asha Desai,33,2,5,1,2
