AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
72,33,Santosh D'Souza,32,M,A2
73,34,Umesh Gowda,24,M,A1
74,34,Vinay Kumar,51,M,A2
75,35,Abdul Kulkarni,25,M,A1
76,36,Kiran D'Souza,29,M,A1
77,36,Joseph Rao,34,M,A2
78,37,Harish Patil,39,M,A1
79,38,Venkatesh Shetty,39,M,A1
80,39,Nagaraj Fernandes,40,M,A1
81,40,Joseph Swamy,43,M,A1
82,40,Vinay Hegde,18,M,A2
83,41,Umesh Murthy,23,M,A1
84,42,Karthik Khan,32,M,A1
85,42,Vinay,43,M,A2
86,43,Peter D'Souza,26,M,A1
87,43,Arun Gowda,24,M,A2
88,44,Chandrashekar Poojary,27,M,A1
89,45,Raghavendra Shetty,37,M,A1
90,46,Raghavendra Murthy,26,M,A1
91,47,Savitha Acharya,41,F,A1
92,47,Naveen Shetty,36,M,A2
93,47,Karthik Fernandes,44,M,A3
94,48,Prakash Shetty,21,M,A1
95,48,Savitha Hegde,50,F,A2
96,49,Santosh Reddy,41,M,A1
97,49,Vinay Kulkarni,24,M,A2
98,50,Peter D'Souza,24,M,A1
99,51,Deepak Poojary,20,M,A1
100,52,Santosh Khan,34,M,A1
101,53,Imran Reddy,33,M,A1
102,53,Venkatesh Gowda,27,M,A2
103,53,Kavitha Swamy,28,F,A3
104,54,Imran Naik,38,M,A1
105,55,Nagaraj Hegde,21,M,A1
106,56,Chandrashekar Gowda,46,M,A1
107,56,Geetha Khan,55,F,A2
108,56,Vinay Naik,44,M,A3
109,57,Venkatesh Poojary,42,M,A1
110,58,Shivakumar Poojary,43,M,A1
111,59,Lokesh Reddy,54,M,A1
112,60,Rekha,42,F,A1
113,60,Peter Shetty,47,M,A2
114,61,Lokesh Rao,49,M,A1
115,62,Ravi D'Souza,50,M,A1
116,63,Naveen Kulkarni,43,M,A1
117,64,Chandrashekar Acharya,43,M,A1
118,64,Santosh Murthy,45,M,A2
119,65,Arun Sheikh,49,M,A1
120,66,Venkatesh Murthy,49,M,A1
121,66,Lokesh Desai,47,M,A2
122,67,Arun Swamy,35,M,A1
123,68,Manjunath Kumar,49,M,A1
124,68,Ravi Naik,47,M,A2
125,69,Harish Gowda,47,M,A1
126,69,Ravi Sheikh,51,M,A2
127,70,Shobha Rao,21,F,A1
128,70,Pooja Kulkarni,33,F,A2
129,71,Nagaraj Kumar,28,M,A1
130,72,Umesh Khan,18,M,A1
131,73,Shivakumar D'Souza,29,M,A1
132,73,Abdul Acharya,39,M,A2
133,74,Basavaraj Desai,18,M,A1
134,74,Abdul Gowda,21,M,A2
135,75,Venkatesh Naik,37,M,A1
136,76,Harish,50,M,A1
137,76,Deepak Fernandes,54,M,A2
138,77,Abdul Shetty,37,M,A1
139,77,Peter Gowda,49,M,A2
140,77,Vinay Rao,22,M,A3
141,78,Umesh Kulkarni,43,M,A1
142,79,Naveen Shetty,35,M,A1
143,80,Prakash Sheikh,48,M,A1
144,81,Manjunath,19,M,A1
145,82,Prakash Rao,49,M,A1
146,83,Vinay Murthy,21,M,A1
147,84,Harish Gowda,21,M,A1
148,85,Santosh Desai,20,M,A1
149,86,Raghavendra Sheikh,35,M,A1
150,87,Suresh Patil,31,M,A1
151,87,Abdul Poojary,52,M,A2
152,88,Nagaraj Kumar,33,M,A1
153,89,Deepak Fernandes,38,M,A1
154,90,Prakash Kumar,50,M,A1
155,91,Deepak Naik,38,M,A1
156,91,Joseph D'Souza,55,M,A2
157,91,Vinay Swamy,55,M,A3
158,92,Peter Poojary,41,M,A1
159,93,Santosh Khan,18,M,A1
160,93,Raghavendra Kulkarni,53,M,A2
161,94,Bhagya Khan,45,F,A1
162,94,Basavaraj Shetty,29,M,A2
163,94,Anand D'Souza,23,M,A3
164,95,Kavitha Kulkarni,24,F,A1
165,96,Naveen Rao,46,M,A1
166,97,Mahesh Naik,53,M,A1
167,97,Imran Reddy,18,M,A2
168,97,Anand Swamy,32,M,A3
169,98,Kavitha Poojary,46,F,A1
170,99,Suresh Kulkarni,49,M,A1
171,100,Vinay Hegde,52,M,A1
172,101,Karthik Kulkarni,23,M,A1
173,102,Basavaraj Desai,52,M,A1
174,102,Lokesh Gowda,49,M,A2
175,102,Umesh Fernandes,24,M,A3
176,103,Deepak Poojary,18,M,A1
177,104,Arun D'Souza,49,M,A1
178,105,Naveen Shetty,28,M,A1
179,105,Karthik Sheikh,18,M,A2
180,105,Santosh Shetty,48,M,A3
181,106,Chandrashekar,42,M,A1
182,107,Salman Sheikh,40,M,A1
183,108,Umesh D'Souza,30,M,A1
184,108,Girish Murthy,24,M,A2
185,108,Padma D'Souza,18,F,A3
186,109,Imran Reddy,38,M,A1
187,109,Venkatesh Kulkarni,30,M,A2
188,110,Santosh Gowda,37,M,A1
189,111,Vinay Kulkarni,30,M,A1
190,112,Prakash D'Souza,29,M,A1
191,113,Salman Poojary,43,M,A1
192,113,Harish Kulkarni,41,M,A2
193,114,Ravi Shetty,30,M,A1
194,115,Raghavendra Swamy,52,M,A1
195,115,Basavaraj,19,M,A2
196,116,Manjunath Acharya,24,M,A1
197,116,Lokesh Gowda,28,M,A2
198,117,Chandrashekar Khan,45,M,A1
199,117,Girish Reddy,25,M,A2
200,118,Peter Shetty,49,M,A1
201,119,Vinay,34,M,A1
202,120,Prakash Patil,32,M,A1
203,120,Mahesh Patil,22,M,A2
204,121,Manjunath Sheikh,53,M,A1
205,121,Rekha Naik,51,F,A2
206,122,Padma Murthy,41,F,A1
207,123,Bhagya Naik,19,F,A1
208,123,Kiran D'Souza,23,M,A2
209,124,Asha,47,F,A1
210,125,Arun Swamy,20,M,A1
211,125,Salman D'Souza,46,M,A2
212,126,Kiran D'Souza,36,M,A1
213,127,Peter D'Souza,43,M,A1
214,128,Imran Naik,40,M,A1
215,128,Anand Gowda,51,M,A2
216,129,Deepak Kulkarni,53,M,A1
217,130,Raghavendra Rao,46,M,A1
218,131,Santosh Sheikh,18,M,A1
219,132,Santosh Hegde,28,M,A1
220,133,Vinay Kulkarni,36,M,A1
221,134,Girish Rao,48,M,A1
222,135,Salman Kulkarni,34,M,A1
223,136,Arun D'Souza,23,M,A1
224,136,Shivakumar Naik,22,M,A2
225,137,Vinay Shetty,31,M,A1
226,137,Prakash Gowda,52,M,A2
227,138,Anand Rao,23,M,A1
228,139,Vani Acharya,37,F,A1
229,140,Santosh Hegde,51,M,A1
230,141,Rekha Poojary,22,F,A1
231,142,Girish Rao,33,M,A1
232,142,Santosh Desai,39,M,A2
233,143,Shivakumar Naik,47,M,A1
234,143,Venkatesh Khan,25,M,A2
235,144,Venkatesh Kumar,50,M,A1
236,145,Meena Desai,42,F,A1
237,146,Manjunath Patil,35,M,A1
238,147,Raghavendra,28,M,A1
239,148,Nagaraj Rao,49,M,A1
240,149,Shivakumar Kulkarni,40,M,A1
241,150,Deepak Sheikh,29,M,A1
242,151,Kiran Swamy,24,M,A1
243,152,Raghavendra Hegde,51,M,A1
244,153,Harish Acharya,53,M,A1
245,154,Asha Khan,37,F,A1
246,154,Abdul Desai,39,M,A2
247,154,Arun D'Souza,44,M,A3
248,155,Lokesh Naik,32,M,A1
249,156,Joseph Hegde,50,M,A1
250,156,Karthik Khan,19,M,A2
251,157,Pooja Rao,51,F,A1
252,157,Imran Murthy,51,M,A2
253,157,Salman Fernandes,51,M,A3
254,158,Naveen Poojary,50,M,A1
255,159,Raghavendra,37,M,A1
256,159,Imran Kulkarni,44,M,A2
257,160,Prakash Swamy,30,M,A1
258,161,Ravi Shetty,39,M,A1
259,161,Padma Hegde,40,F,A2
260,162,Santosh Murthy,41,M,A1
261,163,Girish Hegde,42,M,A1
262,163,Sunitha Acharya,19,F,A2
263,164,Raghavendra Acharya,37,M,A1
264,165,Peter Shetty,49,M,A1
265,166,Kiran Hegde,44,M,A1
266,167,Rekha Hegde,26,F,A1
267,167,Abdul Swamy,27,M,A2
268,167,Arun Naik,38,M,A3
269,168,Anand Gowda,37,M,A1
270,168,Basavaraj Swamy,42,M,A2
271,168,Abdul Kulkarni,42,M,A3
272,169,Roopa Rao,25,F,A1
273,169,Kiran Naik,23,M,A2
274,169,Salman Kumar,18,M,A3
275,170,Imran Kulkarni,36,M,A1
276,170,Manjunath Reddy,22,M,A2
277,171,Asha Patil,55,F,A1
278,172,Nagaraj Murthy,30,M,A1
279,173,Umesh Shetty,41,M,A1
280,174,Ravi Murthy,50,M,A1
281,175,Venkatesh Naik,30,M,A1
282,176,Prakash Kulkarni,47,M,A1
283,177,Prakash D'Souza,28,M,A1
284,177,Shobha Kumar,41,F,A2
285,177,Roopa Kumar,44,F,A3
286,178,Anand Sheikh,18,M,A1
287,179,Prakash Naik,30,M,A1
288,180,Abdul Patil,22,M,A1
289,181,Asha Rao,19,F,A1
290,182,Rekha Kulkarni,36,F,A1
291,183,Kiran Murthy,40,M,A1
292,184,Asha Swamy,23,F,A1
293,185,Joseph Naik,18,M,A1
294,186,Lokesh Gowda,37,M,A1
295,187,Basavaraj Reddy,38,M,A1
296,187,Joseph Khan,31,M,A2
297,188,Peter Hegde,42,M,A1
298,189,Nagaraj Acharya,48,M,A1
299,190,Nagaraj,51,M,A1
300,191,Mahesh Swamy,19,M,A1
301,191,Peter Acharya,43,M,A2
302,192,Basavaraj Swamy,55,M,A1
303,192,Abdul,26,M,A2
304,193,Venkatesh Murthy,31,M,A1
305,193,Anand D'Souza,29,M,A2
306,194,Raghavendra Sheikh,24,M,A1
307,195,Nagaraj Fernandes,40,M,A1
308,195,Kiran Gowda,53,M,A2
309,196,Raghavendra Khan,46,M,A1
310,197,Harish Swamy,48,M,A1
311,198,Joseph Patil,23,M,A1
312,198,Santosh Kumar,53,M,A2
313,198,Manjunath D'Souza,34,M,A3
314,199,Padma D'Souza,19,F,A1
315,200,Joseph Swamy,53,M,A1
316,201,Imran Shetty,46,M,A1
317,202,Basavaraj Reddy,48,M,A1
318,203,Chandrashekar Kumar,27,M,A1
319,204,Sunitha Reddy,34,F,A1
320,205,Anand Desai,34,M,A1
321,205,Kiran Fernandes,32,M,A2
322,205,Harish Patil,47,M,A3
323,206,Deepak Hegde,39,M,A1
324,206,Mahesh,42,M,A2
325,207,Basavaraj Rao,35,M,A1
326,207,Deepak D'Souza,22,M,A2
327,208,Prakash Khan,26,M,A1
328,209,Naveen Murthy,46,M,A1
329,209,Mahesh Poojary,38,M,A2
330,209,Pooja Hegde,18,F,A3
331,210,Shivakumar,53,M,A1
332,210,Joseph Khan,20,M,A2
333,210,Ravi Poojary,55,M,A3
334,211,Nagaraj Fernandes,52,M,A1
335,211,Lakshmi D'Souza,37,F,A2
336,211,Abdul Reddy,49,M,A3
337,212,Ravi Patil,22,M,A1
338,213,Arun Kumar,22,M,A1
339,213,Mahesh Hegde,51,M,A2
340,213,Venkatesh Naik,48,M,A3
341,214,Vani Murthy,44,F,A1
342,215,Geetha Kulkarni,42,F,A1
343,216,Arun Kumar,32,M,A1
344,217,Nagaraj Hegde,55,M,A1
345,218,Vinay D'Souza,36,M,A1
346,219,Vinay Kulkarni,25,M,A1
347,219,Imran Naik,25,M,A2
348,220,Karthik Reddy,47,M,A1
349,221,Harish Fernandes,50,M,A1
350,222,Prakash Desai,45,M,A1
351,223,Rekha Rao,53,F,A1
352,224,Bhagya Murthy,24,F,A1
353,225,Peter Naik,41,M,A1
354,226,Salman Fernandes,51,M,A1
355,227,Kiran Reddy,51,M,A1
356,228,Venkatesh Kumar,38,M,A1
357,229,Arun D'Souza,36,M,A1
358,230,Imran Murthy,23,M,A1
359,230,Chandrashekar Kulkarni,51,M,A2
360,231,Prakash Swamy,34,M,A1
361,232,Abdul Desai,44,M,A1
362,233,Naveen Gowda,23,M,A1
363,234,Vani Naik,51,F,A1
364,235,Shruthi D'Souza,49,F,A1
365,235,Mahesh Swamy,24,M,A2
366,236,Peter Poojary,18,M,A1
367,236,Asha Swamy,41,F,A2
368,237,Nagaraj Reddy,36,M,A1
369,238,Peter Naik,24,M,A1
370,239,Naveen Fernandes,51,M,A1
371,240,Arun Acharya,55,M,A1
372,241,Ravi Khan,29,M,A1
373,242,Manjunath Fernandes,42,M,A1
374,243,Nagaraj Reddy,19,M,A1
375,243,Santosh Sheikh,32,M,A2
376,244,Mary Naik,55,F,A1
377,244,Bhagya Shetty,21,F,A2
378,245,Roopa Acharya,28,F,A1
379,246,Anand Reddy,28,M,A1
380,247,Imran Kumar,49,M,A1
381,248,Imran Poojary,43,M,A1
382,248,Prakash Khan,48,M,A2
383,249,Deepak Reddy,53,M,A1
384,250,Manjunath Kumar,36,M,A1
385,250,Imran Fernandes,50,M,A2
386,251,Raghavendra D'Souza,49,M,A1
387,252,Nagaraj Fernandes,29,M,A1
388,253,Basavaraj Hegde,39,M,A1
389,253,Anand Hegde,43,M,A2
390,254,Basavaraj Hegde,21,M,A1
391,255,Geetha Rao,36,F,A1
392,255,Rekha Reddy,40,F,A2
393,256,Girish Hegde,26,M,A1
394,257,Imran Patil,22,M,A1
395,258,Kiran Sheikh,32,M,A1
396,258,Imran Khan,36,M,A2
397,259,Venkatesh Khan,40,M,A1
398,260,Prakash Sheikh,29,M,A1
399,260,Abdul Naik,30,M,A2
400,261,Prakash Sheikh,47,M,A1
401,261,Basavaraj Patil,28,M,A2
402,261,Girish Patil,19,M,A3
403,262,Prakash Shetty,41,M,A1
404,263,Lokesh Kumar,54,M,A1
405,263,Pooja Murthy,25,F,A2
406,263,Umesh Hegde,31,M,A3
407,264,Prakash Naik,28,M,A1
408,264,Abdul Khan,44,M,A2
409,265,Vinay Fernandes,18,M,A1
410,266,Meena Kumar,18,F,A1
411,267,Kiran Gowda,27,M,A1
412,268,Lakshmi Patil,36,F,A1
413,269,Suresh Naik,19,M,A1
414,269,Peter Poojary,53,M,A2
415,270,Raghavendra Hegde,40,M,A1
416,271,Raghavendra Rao,37,M,A1
417,271,Pooja Gowda,22,F,A2
418,271,Suresh Khan,55,M,A3
419,272,Karthik Sheikh,43,M,A1
420,273,Raghavendra Hegde,31,M,A1
421,273,Chandrashekar,36,M,A2
422,274,Anand D'Souza,50,M,A1
423,274,Pooja Khan,27,F,A2
424,275,Arun Gowda,34,M,A1
425,276,Abdul Sheikh,21,M,A1
426,276,Anand Acharya,32,M,A2
427,277,Bhagya Gowda,35,F,A1
428,277,Girish Shetty,22,M,A2
429,278,Joseph Patil,40,M,A1
430,278,Deepak Hegde,31,M,A2
431,279,Naveen Kumar,48,M,A1
432,279,Basavaraj Kumar,51,M,A2
433,280,Salman Kumar,38,M,A1
434,281,Prakash D'Souza,55,M,A1
435,281,Umesh Reddy,42,M,A2
436,281,Suresh Gowda,54,M,A3
437,282,Naveen Hegde,44,M,A1
438,282,Girish Reddy,24,M,A2
439,283,Divya Gowda,24,F,A1
440,284,Harish Sheikh,39,M,A1
441,285,Naveen Naik,22,M,A1
442,286,Arun Kumar,42,M,A1
443,287,Santosh Kulkarni,34,M,A1
444,288,Joseph Reddy,37,M,A1
445,289,Prakash Fernandes,49,M,A1
446,289,Karthik Hegde,54,M,A2
447,290,Lokesh Kumar,36,M,A1
448,290,Peter Patil,53,M,A2
449,291,Salman Reddy,45,M,A1
450,292,Raghavendra Fernandes,30,M,A1
451,293,Manjunath Shetty,45,M,A1
452,294,Prakash Fernandes,53,M,A1
453,294,Manjunath,43,M,A2
454,295,Ravi,19,M,A1
455,295,Savitha Kumar,43,F,A2
456,296,Salman Reddy,23,M,A1
457,297,Chandrashekar,37,M,A1
458,297,Mahesh Desai,32,M,A2
459,298,Deepak Swamy,32,M,A1
460,299,Santosh Murthy,32,M,A1
461,300,Abdul Rao,32,M,A1
462,300,Manjunath Rao,47,M,A2
463,301,Anand Acharya,21,M,A1
464,302,Abdul Naik,37,M,A1
465,302,Ravi Naik,55,M,A2
466,302,Nagaraj Acharya,26,M,A3
467,303,Lakshmi Gowda,43,F,A1
468,304,Naveen Hegde,39,M,A1
469,305,Suresh Poojary,20,M,A1
470,305,Ravi Fernandes,53,M,A2
471,306,Ravi Shetty,47,M,A1
472,306,Chandrashekar Hegde,22,M,A2
473,307,Mahesh,47,M,A1
474,308,Manjula D'Souza,26,F,A1
475,308,Joseph Sheikh,28,M,A2
476,309,Salman Shetty,32,M,A1
477,310,Manjula Fernandes,32,F,A1
478,311,Basavaraj Gowda,50,M,A1
479,312,Raghavendra Acharya,18,M,A1
480,313,Karthik Kumar,54,M,A1
481,314,Naveen Khan,42,M,A1
482,314,Pooja Kulkarni,49,F,A2
483,314,Shivakumar Swamy,55,M,A3
484,315,Kavitha D'Souza,23,F,A1
485,315,Santosh Swamy,27,M,A2
486,315,Umesh,42,M,A3
487,316,Basavaraj D'Souza,40,M,A1
488,316,Geetha Rao,23,F,A2
489,317,Vinay Naik,47,M,A1
490,318,Manjula Naik,43,F,A1
491,319,Salman Khan,32,M,A1
492,320,Chandrashekar Hegde,42,M,A1
493,321,Vinay Shetty,27,M,A1
494,322,Nagaraj Swamy,49,M,A1
495,322,Karthik Patil,18,M,A2
496,323,Imran Kumar,41,M,A1
497,324,Peter Kumar,27,M,A1
498,324,Vinay,33,M,A2
499,325,Kavitha Naik,25,F,A1
500,325,Imran Swamy,39,M,A2
501,326,Girish,46,M,A1
502,326,Girish Kumar,44,M,A2
503,327,Shivakumar Gowda,29,M,A1
504,328,Joseph Patil,34,M,A1
505,328,Shivakumar Desai,32,M,A2
506,328,Nagaraj Poojary,34,M,A3
507,329,Naveen Shetty,20,M,A1
508,330,Divya Poojary,23,F,A1
509,330,Shruthi Naik,22,F,A2
510,331,Peter Swamy,52,M,A1
511,331,Suresh Fernandes,38,M,A2
512,332,Nagaraj Poojary,43,M,A1
513,332,Shivakumar Murthy,28,M,A2
514,333,Santosh Patil,55,M,A1
515,334,Ayesha Rao,48,F,A1
516,335,Nagaraj D'Souza,27,M,A1
517,335,Fathima Patil,30,F,A2
518,336,Joseph Rao,49,M,A1
519,337,Karthik Gowda,37,M,A1
520,338,Raghavendra Patil,35,M,A1
521,338,Basavaraj Sheikh,38,M,A2
522,339,Girish Hegde,20,M,A1
523,340,Manjula Acharya,52,F,A1
524,341,Girish Swamy,37,M,A1
525,341,Prakash Poojary,26,M,A2
526,341,Abdul Hegde,25,M,A3
527,342,Peter Fernandes,19,M,A1
528,343,Abdul,21,M,A1
529,343,Lokesh Fernandes,45,M,A2
530,344,Harish Shetty,24,M,A1
531,345,Naveen Kulkarni,33,M,A1
532,345,Deepak Shetty,47,M,A2
533,345,Raghavendra Rao,47,M,A3
534,346,Raghavendra Gowda,46,M,A1
535,347,Nagaraj Kumar,50,M,A1
536,347,Deepak D'Souza,37,M,A2
537,348,Karthik Fernandes,29,M,A1
538,348,Karthik Kulkarni,40,M,A2
539,349,Lokesh Swamy,24,M,A1
540,350,Harish Kulkarni,36,M,A1
541,350,Nagaraj Shetty,20,M,A2
542,351,Arun Gowda,34,M,A1
543,351,Basavaraj Swamy,37,M,A2
544,352,Salman Sheikh,33,M,A1
545,352,Geetha Khan,49,F,A2
546,352,Joseph Kulkarni,52,M,A3
547,353,Umesh Desai,23,M,A1
548,354,Manjunath Kumar,30,M,A1
549,355,Shobha Sheikh,50,F,A1
550,355,Chandrashekar,24,M,A2
551,356,Harish,19,M,A1
552,357,Joseph Sheikh,39,M,A1
553,357,Anand Acharya,51,M,A2
554,357,Chandrashekar Rao,55,M,A3
555,358,Vinay D'Souza,50,M,A1
556,358,Raghavendra Fernandes,25,M,A2
557,359,Manjunath Murthy,50,M,A1
558,360,Anand Reddy,51,M,A1
559,361,Salman Gowda,39,M,A1
560,362,Santosh Khan,19,M,A1
561,362,Divya Poojary,42,F,A2
562,362,Mahesh Patil,36,M,A3
563,363,Kiran D'Souza,24,M,A1
564,364,Vinay Gowda,45,M,A1
565,365,Ravi Kulkarni,24,M,A1
566,366,Salman,35,M,A1
567,367,Kavitha Shetty,29,F,A1
568,368,Manjunath,41,M,A1
569,368,Venkatesh,19,M,A2
570,369,Santosh Fernandes,22,M,A1
571,369,Ravi Khan,34,M,A2
572,369,Raghavendra Reddy,27,M,A3
573,370,Kiran Sheikh,44,M,A1
574,371,Arun Fernandes,44,M,A1
575,371,Venkatesh Poojary,50,M,A2
576,372,Karthik Naik,38,M,A1
577,372,Padma Fernandes,35,F,A2
578,372,Nagaraj Khan,20,M,A3
579,373,Joseph,23,M,A1
580,374,Suresh Gowda,55,M,A1
581,375,Nagaraj Poojary,44,M,A1
582,376,Geetha Swamy,27,F,A1
583,376,Umesh D'Souza,22,M,A2
584,377,Mahesh Acharya,54,M,A1
585,377,Abdul Swamy,25,M,A2
586,378,Sunitha Shetty,46,F,A1
587,379,Ravi D'Souza,43,M,A1
588,380,Prakash D'Souza,37,M,A1
589,381,Prakash Rao,49,M,A1
590,381,Venkatesh Fernandes,23,M,A2
591,382,Ravi Rao,43,M,A1
592,382,Deepak D'Souza,45,M,A2
593,383,Karthik Khan,53,M,A1
594,384,Naveen Khan,51,M,A1
595,385,Raghavendra Fernandes,24,M,A1
596,385,Lakshmi Hegde,36,F,A2
597,386,Arun Khan,40,M,A1
598,386,Deepak Rao,33,M,A2
599,387,Girish Fernandes,36,M,A1
600,387,Harish Gowda,18,M,A2
601,388,Chandrashekar,45,M,A1
602,388,Manjula Murthy,48,F,A2
603,389,Kiran Reddy,40,M,A1
604,390,Santosh,29,M,A1
605,390,Joseph Swamy,51,M,A2
606,391,Nagaraj D'Souza,51,M,A1
607,391,Pooja Patil,29,F,A2
608,392,Santosh Sheikh,31,M,A1
609,393,Anand Fernandes,32,M,A1
610,394,Vinay Kumar,43,M,A1
611,394,Ayesha Reddy,39,F,A2
612,395,Peter Fernandes,38,M,A1
613,396,Deepak,41,M,A1
614,397,Vinay Patil,31,M,A1
615,398,Lokesh Hegde,55,M,A1
616,399,Santosh Kulkarni,23,M,A1
617,400,Deepak Poojary,25,M,A1
618,401,Ayesha Shetty,34,F,A1
619,402,Vinay Patil,28,M,A1
620,403,Kiran,28,M,A1
621,404,Nagaraj Kumar,36,M,A1
622,405,Anand Patil,33,M,A1
623,406,Santosh Naik,35,M,A1
624,407,Basavaraj Poojary,20,M,A1
625,407,Salman Naik,34,M,A2
626,408,Arun Naik,50,M,A1
627,409,Roopa Sheikh,35,F,A1
628,410,Naveen Acharya,44,M,A1
629,410,Raghavendra Khan,26,M,A2
630,411,Mahesh Reddy,32,M,A1
631,411,Shivakumar Kulkarni,45,M,A2
632,412,Basavaraj Naik,54,M,A1
633,412,Girish Hegde,50,M,A2
634,413,Vinay Hegde,21,M,A1
635,414,Santosh Gowda,31,M,A1
636,415,Nagaraj Patil,53,M,A1
637,415,Padma Patil,21,F,A2
638,416,Suresh Rao,48,M,A1
639,417,Mahesh,29,M,A1
640,418,Raghavendra Naik,34,M,A1
641,418,Vinay Murthy,42,M,A2
642,419,Harish Swamy,46,M,A1
643,419,Joseph Desai,33,M,A2
644,420,Lokesh Khan,51,M,A1
645,421,Naveen Swamy,53,M,A1
646,421,Salman Sheikh,46,M,A2
647,422,Kavitha,22,F,A1
648,422,Prakash Gowda,31,M,A2
649,423,Bhagya Rao,34,F,A1
650,423,Deepak Swamy,26,M,A2
651,423,Pooja Fernandes,20,F,A3
652,424,Naveen Swamy,24,M,A1
653,425,Girish Fernandes,18,M,A1
654,426,Umesh Kumar,35,M,A1
655,427,Ravi Desai,38,M,A1
656,428,Lakshmi Khan,52,F,A1
657,429,Joseph Poojary,49,M,A1
658,430,Harish Hegde,25,M,A1
659,431,Anand Kulkarni,44,M,A1
660,432,Savitha Swamy,33,F,A1
661,433,Joseph Khan,41,M,A1
662,434,Salman Fernandes,42,M,A1
663,435,Kiran Naik,40,M,A1
664,435,Manjunath Acharya,50,M,A2
665,435,Manjunath Acharya,30,M,A3
666,436,Venkatesh Swamy,45,M,A1
667,436,Kavitha Swamy,55,F,A2
668,436,Mahesh Swamy,25,M,A3
669,437,Geetha Sheikh,31,F,A1
670,438,Suresh Shetty,33,M,A1
671,438,Ravi,24,M,A2
672,439,Vinay Fernandes,32,M,A1
673,439,Ravi Swamy,36,M,A2
674,440,Imran Desai,23,M,A1
675,441,Padma Poojary,22,F,A1
676,441,Shivakumar Kulkarni,38,M,A2
677,442,Vinay Shetty,26,M,A1
678,442,Anand Kulkarni,42,M,A2
679,443,Lokesh Khan,50,M,A1
680,443,Manjunath D'Souza,50,M,A2
681,443,Kiran Naik,46,M,A3
682,444,Anand Swamy,30,M,A1
683,444,Divya Patil,18,F,A2
684,445,Basavaraj Acharya,24,M,A1
685,445,Sunitha Kulkarni,48,F,A2
686,446,Rekha Khan,19,F,A1
687,446,Bhagya Naik,20,F,A2
688,447,Chandrashekar Gowda,37,M,A1
689,448,Joseph Shetty,39,M,A1
690,449,Joseph Patil,28,M,A1
691,450,Rekha Khan,52,F,A1
692,450,Girish Shetty,42,M,A2
