CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,DistrictID,DistrictName,PoliceStationName
11,100030009202400001,202400001,2024-12-17,64,9,1,2,2,9,2,3,2024-12-16 03:38:08,2024-12-16 05:38:08,2024-12-16 16:38:08,12.857306,77.173077,"Complainant Deepak Rao reported that his/her two-wheeler parked near Ramanagara area was stolen between the incident hours. Vehicle Theft case registered. Accused Somashekar Bhovi, Manja Urs, Rafiq Pasha identified through CCTV footage.",3,Ramanagara,Ramanagara PS-1
12,400030010202600001,202600001,2026-04-06,69,10,3,1,2,5,1,3,2026-04-06 11:05:30,2026-04-06 11:05:30,2026-04-07 09:05:30,12.632296,77.135812,"Complainant Abdul Kumar reported an incident of Robbery at the stated location. Chandru Nayaka, Ilyas Sheikh, Manja Urs, Rafiq Pasha was named as accused. Investigation taken up by jurisdictional police.",3,Ramanagara,Ramanagara PS-2
13,800030012202400001,202400001,2024-04-13,89,12,4,2,2,9,1,3,2024-04-10 08:00:41,2024-04-10 10:00:41,2024-04-11 03:00:41,12.809678,77.407667,"Complainant Deepak Murthy reported that his/her two-wheeler parked near Ramanagara area was stolen between the incident hours. Vehicle Theft case registered. Accused Rafiq Pasha, Manja Urs identified through CCTV footage.",3,Ramanagara,Ramanagara PS-4
14,100010002202400001,202400001,2024-04-24,11,2,1,2,2,9,4,1,2024-04-22 01:42:41,2024-04-22 05:42:41,2024-04-22 18:42:41,12.845417,77.485867,"Complainant Lokesh Naik reported that his/her two-wheeler parked near Bengaluru City area was stolen between the incident hours. Vehicle Theft case registered. Accused Ilyas Sheikh, Chandru Nayaka identified through CCTV footage.",1,Bengaluru City,Bengaluru City PS-2
15,100250098202400001,202400001,2024-05-14,803,98,1,2,2,7,1,25,2024-05-14 05:29:46,2024-05-14 08:29:46,2024-05-14 12:29:46,15.364594,75.127156,Complainant Vinay Shetty reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Girish under investigation.,25,Hubballi City,Hubballi City PS-2
16,400250097202500001,202500001,2025-01-17,793,97,3,2,2,7,1,25,2025-01-16 12:20:39,2025-01-16 19:20:39,2025-01-18 00:20:39,15.354834,75.138698,Complainant Mary Poojary reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Girish Khan under investigation.,25,Hubballi City,Hubballi City PS-1
17,100250097202300001,202300001,2023-10-22,792,97,1,2,2,7,2,25,2023-10-19 21:45:46,2023-10-20 03:45:46,2023-10-21 06:45:46,15.361262,75.121713,Complainant Vani Swamy reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Joseph Acharya under investigation.,25,Hubballi City,Hubballi City PS-1
18,100250098202400002,202400002,2024-10-20,801,98,1,2,2,7,1,25,2024-10-17 07:22:10,2024-10-17 18:22:10,2024-10-19 14:22:10,15.366715,75.133622,"Complainant Salman Shetty reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Anand Kumar, Bhagya Hegde, Girish D'Souza under investigation.",25,Hubballi City,Hubballi City PS-2
19,400250098202400001,202400001,2024-02-22,800,98,3,2,2,7,2,25,2024-02-22 19:50:32,2024-02-22 21:50:32,2024-02-24 05:50:32,15.369141,75.137541,Complainant Prakash Kumar reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Chandrashekar Rao under investigation.,25,Hubballi City,Hubballi City PS-2
20,100250098202300001,202300001,2023-10-11,802,98,1,2,2,7,5,25,2023-10-09 10:38:44,2023-10-09 20:38:44,2023-10-11 12:38:44,15.354455,75.119416,"Complainant Naveen Hegde reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Suresh Kulkarni, Arun Reddy under investigation.",25,Hubballi City,Hubballi City PS-2
21,100250100202400001,202400001,2024-06-07,820,100,1,2,2,7,3,25,2024-06-05 19:23:16,2024-06-05 22:23:16,2024-06-06 22:23:16,15.372371,75.129358,Complainant Meena Reddy reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Karthik Patil under investigation.,25,Hubballi City,Hubballi City PS-4
22,100250099202300001,202300001,2023-01-05,806,99,1,2,2,7,1,25,2023-01-01 20:39:41,2023-01-02 01:39:41,2023-01-03 21:39:41,15.362358,75.133845,"Complainant Shobha Sheikh reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Pooja D'Souza, Arun Kumar under investigation.",25,Hubballi City,Hubballi City PS-3
23,100250097202400001,202400001,2024-11-24,790,97,1,2,2,7,2,25,2024-11-23 01:46:26,2024-11-23 03:46:26,2024-11-24 22:46:26,15.373693,75.129203,"Complainant Prakash Poojary reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Pooja Kumar, Salman Swamy under investigation.",25,Hubballi City,Hubballi City PS-1
24,100250097202300002,202300002,2023-10-20,792,97,1,2,2,7,1,25,2023-10-18 04:58:40,2023-10-18 13:58:40,2023-10-20 13:58:40,15.352139,75.135774,"Complainant Girish Reddy reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Basavaraj Khan, Kiran Reddy, Salman Rao under investigation.",25,Hubballi City,Hubballi City PS-1
25,100250100202500001,202500001,2025-12-29,817,100,1,2,2,7,4,25,2025-12-25 23:15:34,2025-12-26 02:15:34,2025-12-28 01:15:34,15.369888,75.129881,"Complainant Salman Reddy reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Meena Swamy, Girish Desai under investigation.",25,Hubballi City,Hubballi City PS-4
26,100250097202500001,202500001,2025-06-20,794,97,1,2,2,7,3,25,2025-06-17 01:16:18,2025-06-17 03:16:18,2025-06-18 16:16:18,15.353142,75.136054,Complainant Shivakumar Sheikh reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Suresh Rao under investigation.,25,Hubballi City,Hubballi City PS-1
27,100250099202500001,202500001,2025-03-11,812,99,1,2,2,7,5,25,2025-03-10 07:48:58,2025-03-10 07:48:58,2025-03-10 15:48:58,15.372682,75.120816,"Complainant Lokesh Sheikh reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Prakash Rao, Imran D'Souza under investigation.",25,Hubballi City,Hubballi City PS-3
28,100250100202500002,202500002,2025-12-27,820,100,1,2,2,7,1,25,2025-12-27 05:56:01,2025-12-27 16:56:01,2025-12-29 03:56:01,15.359215,75.141999,Complainant Lokesh Gowda reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Venkatesh Khan under investigation.,25,Hubballi City,Hubballi City PS-4
29,100250097202300003,202300003,2023-05-12,795,97,1,2,2,7,1,25,2023-05-11 11:30:05,2023-05-11 17:30:05,2023-05-13 12:30:05,15.356162,75.136074,Complainant Harish Desai reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Abdul Reddy under investigation.,25,Hubballi City,Hubballi City PS-1
30,100250099202400001,202400001,2024-07-11,807,99,1,2,2,7,2,25,2024-07-08 18:55:10,2024-07-08 22:55:10,2024-07-09 15:55:10,15.364451,75.123185,Complainant Sunitha Swamy reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Bhagya Swamy under investigation.,25,Hubballi City,Hubballi City PS-3
31,100250100202300001,202300001,2023-06-20,820,100,1,2,2,7,2,25,2023-06-19 00:43:45,2023-06-19 12:43:45,2023-06-20 06:43:45,15.351861,75.120991,"Complainant Naveen Patil reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Divya Kulkarni, Sunitha Murthy under investigation.",25,Hubballi City,Hubballi City PS-4
32,100250099202300002,202300002,2023-03-24,812,99,1,2,2,7,1,25,2023-03-20 06:56:09,2023-03-20 13:56:09,2023-03-21 01:56:09,15.359091,75.13565,Complainant Vani Khan reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Manjunath Kumar under investigation.,25,Hubballi City,Hubballi City PS-3
33,100250099202600001,202600001,2026-02-28,806,99,1,2,2,7,2,25,2026-02-26 12:18:48,2026-02-26 22:18:48,2026-02-28 07:18:48,15.353963,75.119378,"Complainant Basavaraj Sheikh reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Peter D'Souza, Santosh D'Souza under investigation.",25,Hubballi City,Hubballi City PS-3
34,100250097202500002,202500002,2025-04-17,791,97,1,2,2,7,2,25,2025-04-16 06:50:10,2025-04-16 06:50:10,2025-04-18 06:50:10,15.371937,75.123994,"Complainant Asha Desai reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Umesh Gowda, Vinay Kumar under investigation.",25,Hubballi City,Hubballi City PS-1
35,100250099202400002,202400002,2024-04-09,810,99,1,2,2,7,1,25,2024-04-09 07:09:06,2024-04-09 14:09:06,2024-04-11 09:09:06,15.355426,75.127489,Complainant Sunitha Shetty reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Abdul Kulkarni under investigation.,25,Hubballi City,Hubballi City PS-3
36,100250100202500003,202500003,2025-02-18,815,100,1,2,2,7,5,25,2025-02-17 20:38:38,2025-02-17 22:38:38,2025-02-18 21:38:38,15.368345,75.139162,"Complainant Joseph Patil reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Kiran D'Souza, Joseph Rao under investigation.",25,Hubballi City,Hubballi City PS-4
37,800250098202300001,202300001,2023-10-09,798,98,4,2,2,7,2,25,2023-10-08 04:11:15,2023-10-08 05:11:15,2023-10-08 14:11:15,15.366827,75.130056,Complainant Savitha Kulkarni reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Harish Patil under investigation.,25,Hubballi City,Hubballi City PS-2
38,100250100202600001,202600001,2026-01-10,817,100,1,2,2,7,5,25,2026-01-10 02:50:02,2026-01-10 02:50:02,2026-01-10 06:50:02,15.358726,75.140632,Complainant Asha Desai reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Venkatesh Shetty under investigation.,25,Hubballi City,Hubballi City PS-4
39,100250098202300002,202300002,2023-06-15,796,98,1,2,2,7,2,25,2023-06-12 00:35:38,2023-06-12 10:35:38,2023-06-12 23:35:38,15.355041,75.127217,Complainant Salman Khan reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Nagaraj Fernandes under investigation.,25,Hubballi City,Hubballi City PS-2
40,100250097202400002,202400002,2024-11-08,795,97,1,2,2,7,2,25,2024-11-08 07:56:49,2024-11-08 09:56:49,2024-11-10 00:56:49,15.365117,75.120818,"Complainant Geetha Desai reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Joseph Swamy, Vinay Hegde under investigation.",25,Hubballi City,Hubballi City PS-1
41,100250099202400003,202400003,2024-02-07,810,99,1,2,2,7,1,25,2024-02-04 02:03:14,2024-02-04 03:03:14,2024-02-04 14:03:14,15.362092,75.135294,Complainant Suresh Fernandes reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Umesh Murthy under investigation.,25,Hubballi City,Hubballi City PS-3
42,300250100202300001,202300001,2023-07-27,815,100,2,2,2,7,1,25,2023-07-24 03:24:05,2023-07-24 03:24:05,2023-07-25 02:24:05,15.371216,75.124337,"Complainant Peter Kulkarni reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Karthik Khan, Vinay under investigation.",25,Hubballi City,Hubballi City PS-4
43,100250098202300003,202300003,2023-10-15,798,98,1,2,2,7,2,25,2023-10-11 22:20:40,2023-10-12 02:20:40,2023-10-12 04:20:40,15.352249,75.122356,"Complainant Sunitha Hegde reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Peter D'Souza, Arun Gowda under investigation.",25,Hubballi City,Hubballi City PS-2
44,400250098202400002,202400002,2024-02-20,796,98,3,2,2,7,2,25,2024-02-20 03:57:24,2024-02-20 11:57:24,2024-02-22 11:57:24,15.353172,75.136483,Complainant Rekha Naik reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Chandrashekar Poojary under investigation.,25,Hubballi City,Hubballi City PS-2
45,100250100202500004,202500004,2025-11-29,816,100,1,2,2,7,3,25,2025-11-26 12:55:58,2025-11-26 14:55:58,2025-11-26 22:55:58,15.365729,75.123421,Complainant Prakash Desai reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Raghavendra Shetty under investigation.,25,Hubballi City,Hubballi City PS-4
46,400250099202500001,202500001,2025-02-14,807,99,3,2,2,7,4,25,2025-02-14 11:25:05,2025-02-14 13:25:05,2025-02-16 07:25:05,15.358361,75.120494,Complainant Mahesh Shetty reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Raghavendra Murthy under investigation.,25,Hubballi City,Hubballi City PS-3
47,100250100202500005,202500005,2025-04-16,821,100,1,2,2,7,4,25,2025-04-16 09:57:10,2025-04-16 18:57:10,2025-04-18 16:57:10,15.359196,75.131184,"Complainant Mary reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Savitha Acharya, Naveen Shetty, Karthik Fernandes under investigation.",25,Hubballi City,Hubballi City PS-4
48,100250098202500001,202500001,2025-07-11,797,98,1,2,2,7,1,25,2025-07-10 06:09:10,2025-07-10 07:09:10,2025-07-10 08:09:10,15.365906,75.11977,"Complainant Geetha Hegde reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Prakash Shetty, Savitha Hegde under investigation.",25,Hubballi City,Hubballi City PS-2
49,100250098202600001,202600001,2026-01-06,797,98,1,2,2,7,1,25,2026-01-04 02:35:23,2026-01-04 08:35:23,2026-01-04 17:35:23,15.37206,75.130045,"Complainant Lokesh Reddy reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Santosh Reddy, Vinay Kulkarni under investigation.",25,Hubballi City,Hubballi City PS-2
50,100250098202500002,202500002,2025-05-07,800,98,1,2,2,7,1,25,2025-05-06 12:32:43,2025-05-06 21:32:43,2025-05-08 10:32:43,15.368157,75.125419,Complainant Anand Sheikh reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Peter D'Souza under investigation.,25,Hubballi City,Hubballi City PS-2
51,100250100202600002,202600002,2026-05-21,815,100,1,2,2,7,4,25,2026-05-20 00:36:52,2026-05-20 02:36:52,2026-05-20 12:36:52,15.368601,75.118568,Complainant Rekha Kumar reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Deepak Poojary under investigation.,25,Hubballi City,Hubballi City PS-4
52,400250097202500002,202500002,2025-07-31,794,97,3,2,2,7,2,25,2025-07-31 04:00:58,2025-07-31 16:00:58,2025-07-31 17:00:58,15.355739,75.141928,Complainant Joseph Desai reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Santosh Khan under investigation.,25,Hubballi City,Hubballi City PS-1
53,800250097202300001,202300001,2023-08-07,792,97,4,2,2,7,2,25,2023-08-05 14:15:09,2023-08-05 20:15:09,2023-08-06 23:15:09,15.368316,75.128609,"Complainant Shivakumar Acharya reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Imran Reddy, Venkatesh Gowda, Kavitha Swamy under investigation.",25,Hubballi City,Hubballi City PS-1
54,100250097202400003,202400003,2024-12-23,793,97,1,2,2,7,4,25,2024-12-20 17:58:33,2024-12-20 20:58:33,2024-12-21 22:58:33,15.36542,75.139603,Complainant Rekha Murthy reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Imran Naik under investigation.,25,Hubballi City,Hubballi City PS-1
55,800250100202600001,202600001,2026-05-11,818,100,4,2,2,7,1,25,2026-05-11 08:53:52,2026-05-11 20:53:52,2026-05-13 16:53:52,15.351498,75.137405,Complainant Padma Kulkarni reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Nagaraj Hegde under investigation.,25,Hubballi City,Hubballi City PS-4
56,800250098202500001,202500001,2025-01-08,805,98,4,2,2,7,2,25,2025-01-06 12:54:11,2025-01-06 12:54:11,2025-01-08 00:54:11,15.358383,75.128058,"Complainant Manjunath reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Chandrashekar Gowda, Geetha Khan, Vinay Naik under investigation.",25,Hubballi City,Hubballi City PS-2
57,100250097202500003,202500003,2025-11-21,791,97,1,2,2,7,1,25,2025-11-20 01:22:38,2025-11-20 09:22:38,2025-11-20 17:22:38,15.358354,75.140857,Complainant Ayesha Poojary reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Venkatesh Poojary under investigation.,25,Hubballi City,Hubballi City PS-1
58,100250097202300004,202300004,2023-06-04,787,97,1,2,2,7,1,25,2023-05-31 19:22:42,2023-06-01 01:22:42,2023-06-01 08:22:42,15.36685,75.14051,Complainant Shruthi Fernandes reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Shivakumar Poojary under investigation.,25,Hubballi City,Hubballi City PS-1
59,100250100202600003,202600003,2026-05-20,821,100,1,2,2,7,1,25,2026-05-19 22:54:03,2026-05-19 22:54:03,2026-05-20 00:54:03,15.371111,75.124348,Complainant Arun Acharya reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Lokesh Reddy under investigation.,25,Hubballi City,Hubballi City PS-4
60,100250097202300005,202300005,2023-12-25,788,97,1,2,2,7,1,25,2023-12-22 09:10:02,2023-12-22 18:10:02,2023-12-23 20:10:02,15.357635,75.121803,"Complainant Divya Hegde reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Rekha, Peter Shetty under investigation.",25,Hubballi City,Hubballi City PS-1
61,100250099202300003,202300003,2023-12-11,812,99,1,2,2,7,4,25,2023-12-10 00:38:02,2023-12-10 10:38:02,2023-12-10 14:38:02,15.354477,75.133661,Complainant Rekha Shetty reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Lokesh Rao under investigation.,25,Hubballi City,Hubballi City PS-3
62,100250098202300004,202300004,2023-04-29,801,98,1,2,2,7,1,25,2023-04-26 02:08:35,2023-04-26 09:08:35,2023-04-26 20:08:35,15.351766,75.141021,Complainant Girish Gowda reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Ravi D'Souza under investigation.,25,Hubballi City,Hubballi City PS-2
63,100250097202300006,202300006,2023-12-04,789,97,1,2,2,7,1,25,2023-12-02 12:46:21,2023-12-02 16:46:21,2023-12-03 23:46:21,15.355191,75.126757,Complainant Manjunath Acharya reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Naveen Kulkarni under investigation.,25,Hubballi City,Hubballi City PS-1
64,100250100202400002,202400002,2024-11-04,820,100,1,2,2,7,4,25,2024-10-31 23:59:42,2024-11-01 00:59:42,2024-11-02 15:59:42,15.35494,75.135329,"Complainant Bhagya Naik reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Chandrashekar Acharya, Santosh Murthy under investigation.",25,Hubballi City,Hubballi City PS-4
65,100250099202300004,202300004,2023-01-17,811,99,1,2,2,7,2,25,2023-01-16 15:25:10,2023-01-16 23:25:10,2023-01-17 04:25:10,15.352935,75.125646,Complainant Kavitha Naik reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Arun Sheikh under investigation.,25,Hubballi City,Hubballi City PS-3
66,100250099202300005,202300005,2023-02-03,806,99,1,2,2,7,4,25,2023-01-31 11:57:16,2023-01-31 15:57:16,2023-02-01 00:57:16,15.364188,75.123674,"Complainant Savitha Fernandes reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Venkatesh Murthy, Lokesh Desai under investigation.",25,Hubballi City,Hubballi City PS-3
67,100250097202300007,202300007,2023-06-09,789,97,1,2,2,7,4,25,2023-06-08 23:33:34,2023-06-09 04:33:34,2023-06-11 01:33:34,15.370234,75.140505,Complainant Shobha Hegde reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Arun Swamy under investigation.,25,Hubballi City,Hubballi City PS-1
68,100250098202400003,202400003,2024-05-11,802,98,1,2,2,7,5,25,2024-05-07 14:35:06,2024-05-07 21:35:06,2024-05-09 16:35:06,15.364003,75.120878,"Complainant Chandrashekar D'Souza reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Manjunath Kumar, Ravi Naik under investigation.",25,Hubballi City,Hubballi City PS-2
69,100250100202400003,202400003,2024-04-29,816,100,1,2,2,7,4,25,2024-04-28 15:41:40,2024-04-28 18:41:40,2024-04-29 18:41:40,15.370603,75.136252,"Complainant Ayesha D'Souza reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Harish Gowda, Ravi Sheikh under investigation.",25,Hubballi City,Hubballi City PS-4
70,100250097202400004,202400004,2024-06-02,787,97,1,2,2,7,1,25,2024-05-29 21:42:38,2024-05-30 03:42:38,2024-06-01 02:42:38,15.359526,75.12834,"Complainant Asha Desai reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Shobha Rao, Pooja Kulkarni under investigation.",25,Hubballi City,Hubballi City PS-1
71,100250099202500002,202500002,2025-09-16,806,99,1,2,2,7,1,25,2025-09-15 19:19:25,2025-09-15 21:19:25,2025-09-17 06:19:25,15.354105,75.122886,Complainant Kavitha Patil reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Nagaraj Kumar under investigation.,25,Hubballi City,Hubballi City PS-3
72,100250097202500004,202500004,2025-01-06,788,97,1,2,2,7,1,25,2025-01-05 18:40:07,2025-01-05 18:40:07,2025-01-07 07:40:07,15.370474,75.132256,Complainant Shobha D'Souza reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Umesh Khan under investigation.,25,Hubballi City,Hubballi City PS-1
73,100250100202500006,202500006,2025-03-15,815,100,1,2,2,7,3,25,2025-03-14 14:08:27,2025-03-14 20:08:27,2025-03-15 11:08:27,15.357227,75.12601,"Complainant Umesh Sheikh reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Shivakumar D'Souza, Abdul Acharya under investigation.",25,Hubballi City,Hubballi City PS-4
74,100250099202400004,202400004,2024-06-23,808,99,1,2,2,7,1,25,2024-06-20 12:00:58,2024-06-20 22:00:58,2024-06-21 08:00:58,15.3636,75.137021,"Complainant Shruthi Fernandes reported house break-in at Hubballi City area during night hours; gold ornaments and cash stolen. House Burglary case registered. Accused Basavaraj Desai, Abdul Gowda under investigation.",25,Hubballi City,Hubballi City PS-3
